Borough code,Borough,Year/Month,Average House Price £
E09000001,City of London,Jan-95,91449
E09000001,City of London,Feb-95,82203
E09000001,City of London,Mar-95,79121
E09000001,City of London,Apr-95,77101
E09000001,City of London,May-95,84409
E09000001,City of London,Jun-95,94901
E09000001,City of London,Jul-95,110128
E09000001,City of London,Aug-95,112329
E09000001,City of London,Sep-95,104473
E09000001,City of London,Oct-95,108038
E09000001,City of London,Nov-95,117636
E09000001,City of London,Dec-95,127232
E09000001,City of London,Jan-96,108999
E09000001,City of London,Feb-96,93357
E09000001,City of London,Mar-96,93707
E09000001,City of London,Apr-96,120543
E09000001,City of London,May-96,112050
E09000001,City of London,Jun-96,114226
E09000001,City of London,Jul-96,97547
E09000001,City of London,Aug-96,114179
E09000001,City of London,Sep-96,108138
E09000001,City of London,Oct-96,98934
E09000001,City of London,Nov-96,99707
E09000001,City of London,Dec-96,106427
E09000001,City of London,Jan-97,116343
E09000001,City of London,Feb-97,111142
E09000001,City of London,Mar-97,107488
E09000001,City of London,Apr-97,108480
E09000001,City of London,May-97,115453
E09000001,City of London,Jun-97,118317
E09000001,City of London,Jul-97,117034
E09000001,City of London,Aug-97,113585
E09000001,City of London,Sep-97,115159
E09000001,City of London,Oct-97,121251
E09000001,City of London,Nov-97,131074
E09000001,City of London,Dec-97,130035
E09000001,City of London,Jan-98,124382
E09000001,City of London,Feb-98,143829
E09000001,City of London,Mar-98,156508
E09000001,City of London,Apr-98,163403
E09000001,City of London,May-98,143625
E09000001,City of London,Jun-98,132251
E09000001,City of London,Jul-98,140377
E09000001,City of London,Aug-98,148993
E09000001,City of London,Sep-98,152807
E09000001,City of London,Oct-98,162020
E09000001,City of London,Nov-98,152387
E09000001,City of London,Dec-98,155801
E09000001,City of London,Jan-99,149143
E09000001,City of London,Feb-99,164545
E09000001,City of London,Mar-99,174586
E09000001,City of London,Apr-99,191157
E09000001,City of London,May-99,191081
E09000001,City of London,Jun-99,185993
E09000001,City of London,Jul-99,164056
E09000001,City of London,Aug-99,160905
E09000001,City of London,Sep-99,166193
E09000001,City of London,Oct-99,163490
E09000001,City of London,Nov-99,175143
E09000001,City of London,Dec-99,169309
E09000001,City of London,Jan-00,173738
E09000001,City of London,Feb-00,174152
E09000001,City of London,Mar-00,178339
E09000001,City of London,Apr-00,183101
E09000001,City of London,May-00,175041
E09000001,City of London,Jun-00,198191
E09000001,City of London,Jul-00,214852
E09000001,City of London,Aug-00,221952
E09000001,City of London,Sep-00,223175
E09000001,City of London,Oct-00,245062
E09000001,City of London,Nov-00,321773
E09000001,City of London,Dec-00,314772
E09000001,City of London,Jan-01,284262
E09000001,City of London,Feb-01,198137
E09000001,City of London,Mar-01,189033
E09000001,City of London,Apr-01,205494
E09000001,City of London,May-01,223459
E09000001,City of London,Jun-01,242435
E09000001,City of London,Jul-01,230700
E09000001,City of London,Aug-01,231632
E09000001,City of London,Sep-01,229806
E09000001,City of London,Oct-01,263887
E09000001,City of London,Nov-01,346458
E09000001,City of London,Dec-01,362204
E09000001,City of London,Jan-02,344239
E09000001,City of London,Feb-02,284015
E09000001,City of London,Mar-02,253697
E09000001,City of London,Apr-02,245313
E09000001,City of London,May-02,227281
E09000001,City of London,Jun-02,253130
E09000001,City of London,Jul-02,262428
E09000001,City of London,Aug-02,274016
E09000001,City of London,Sep-02,277047
E09000001,City of London,Oct-02,271941
E09000001,City of London,Nov-02,280283
E09000001,City of London,Dec-02,262197
E09000001,City of London,Jan-03,261645
E09000001,City of London,Feb-03,263992
E09000001,City of London,Mar-03,291969
E09000001,City of London,Apr-03,295174
E09000001,City of London,May-03,284860
E09000001,City of London,Jun-03,267208
E09000001,City of London,Jul-03,260204
E09000001,City of London,Aug-03,245449
E09000001,City of London,Sep-03,243184
E09000001,City of London,Oct-03,252980
E09000001,City of London,Nov-03,277515
E09000001,City of London,Dec-03,305556
E09000001,City of London,Jan-04,326913
E09000001,City of London,Feb-04,301092
E09000001,City of London,Mar-04,272731
E09000001,City of London,Apr-04,269514
E09000001,City of London,May-04,280062
E09000001,City of London,Jun-04,297421
E09000001,City of London,Jul-04,298293
E09000001,City of London,Aug-04,307094
E09000001,City of London,Sep-04,305126
E09000001,City of London,Oct-04,289912
E09000001,City of London,Nov-04,333075
E09000001,City of London,Dec-04,331161
E09000001,City of London,Jan-05,330363
E09000001,City of London,Feb-05,288867
E09000001,City of London,Mar-05,304851
E09000001,City of London,Apr-05,317398
E09000001,City of London,May-05,311442
E09000001,City of London,Jun-05,282866
E09000001,City of London,Jul-05,283641
E09000001,City of London,Aug-05,305351
E09000001,City of London,Sep-05,310906
E09000001,City of London,Oct-05,338837
E09000001,City of London,Nov-05,327256
E09000001,City of London,Dec-05,339626
E09000001,City of London,Jan-06,316121
E09000001,City of London,Feb-06,323653
E09000001,City of London,Mar-06,325106
E09000001,City of London,Apr-06,319580
E09000001,City of London,May-06,313126
E09000001,City of London,Jun-06,304977
E09000001,City of London,Jul-06,338307
E09000001,City of London,Aug-06,358438
E09000001,City of London,Sep-06,377545
E09000001,City of London,Oct-06,365177
E09000001,City of London,Nov-06,354438
E09000001,City of London,Dec-06,365755
E09000001,City of London,Jan-07,360923
E09000001,City of London,Feb-07,399437
E09000001,City of London,Mar-07,403144
E09000001,City of London,Apr-07,419005
E09000001,City of London,May-07,411183
E09000001,City of London,Jun-07,436079
E09000001,City of London,Jul-07,467348
E09000001,City of London,Aug-07,473887
E09000001,City of London,Sep-07,463525
E09000001,City of London,Oct-07,456422
E09000001,City of London,Nov-07,450831
E09000001,City of London,Dec-07,464277
E09000001,City of London,Jan-08,471861
E09000001,City of London,Feb-08,453707
E09000001,City of London,Mar-08,404849
E09000001,City of London,Apr-08,382571
E09000001,City of London,May-08,389733
E09000001,City of London,Jun-08,420665
E09000001,City of London,Jul-08,442352
E09000001,City of London,Aug-08,472397
E09000001,City of London,Sep-08,466082
E09000001,City of London,Oct-08,440012
E09000001,City of London,Nov-08,396155
E09000001,City of London,Dec-08,387178
E09000001,City of London,Jan-09,400317
E09000001,City of London,Feb-09,393361
E09000001,City of London,Mar-09,399220
E09000001,City of London,Apr-09,345338
E09000001,City of London,May-09,373504
E09000001,City of London,Jun-09,348751
E09000001,City of London,Jul-09,379109
E09000001,City of London,Aug-09,360545
E09000001,City of London,Sep-09,391138
E09000001,City of London,Oct-09,399867
E09000001,City of London,Nov-09,397909
E09000001,City of London,Dec-09,411955
E09000001,City of London,Jan-10,464436
E09000001,City of London,Feb-10,490525
E09000001,City of London,Mar-10,498241
E09000001,City of London,Apr-10,458246
E09000001,City of London,May-10,454928
E09000001,City of London,Jun-10,428120
E09000001,City of London,Jul-10,420234
E09000001,City of London,Aug-10,442597
E09000001,City of London,Sep-10,455290
E09000001,City of London,Oct-10,456016
E09000001,City of London,Nov-10,430305
E09000001,City of London,Dec-10,445016
E09000001,City of London,Jan-11,442413
E09000001,City of London,Feb-11,504009
E09000001,City of London,Mar-11,475353
E09000001,City of London,Apr-11,516319
E09000001,City of London,May-11,459477
E09000001,City of London,Jun-11,466525
E09000001,City of London,Jul-11,420435
E09000001,City of London,Aug-11,421486
E09000001,City of London,Sep-11,436019
E09000001,City of London,Oct-11,450034
E09000001,City of London,Nov-11,478809
E09000001,City of London,Dec-11,496291
E09000001,City of London,Jan-12,525723
E09000001,City of London,Feb-12,510537
E09000001,City of London,Mar-12,527408
E09000001,City of London,Apr-12,524290
E09000001,City of London,May-12,573532
