"Table 23 Housing market: simple average house prices by new/other dwellings, type of buyer and  region, United Kingdom, from 1986 1, 2, 3",,,,,,,,,,
Previously DCLG table 503,,,,,,,,,,
,,New dwellings,,Other dwellings,,All dwellings,,First time buyers,,Former owner occupiers
,,Price,,Price,,Price,,Price,,Price
,,£,,£,,£,,£,,£
UNITED KINGDOM,,,,,,,,,,
K02000001,,,,,,,,,,
1999,,"85,000",,"58,000",,"62,000",,"48,000",,"78,000"
2000,,"91,000",,"61,000",,"64,000",,"51,000",,"77,000"
2001,,"105,000",,"67,000",,"70,000",,"53,000",,"83,000"
2002,,"123,000",,"74,000",,"79,000",,"59,000",,"90,000"
2003,,"153,000",,"97,000",,"100,000",,"63,000",,"114,000"
2004,,"181,000",,"124,000",,"127,000",,"81,000",,"141,000"
2005,,"184,000",,"132,000",,"135,000",,"93,000",,"154,000"
2006,,"188,000",,"139,000",,"141,000",,"97,000",,"172,000"
2007,,"194,000",,"149,000",,"152,000",,"107,000",,"179,000"
2008,,"198,000",,"155,000",,"159,000",,"112,000",,"183,000"
2009,,"180,000",,"155,000",,"157,000",,"115,000",,"180,000"
2010,,"177,000",,"160,000",,"162,000",,"115,000",,"185,000"
2011,,"168,000",,"152,000",,"153,000",,"110,000",,"179,000"
2012,,"166,000",,"151,000",,"153,000",,"110,000",,"178,000"
2013,,"179,000",,"151,000",,"154,000",,"112,000",,"183,000"
2014,,"189,000",,"158,000",,"162,000",,"118,000",,"193,000"
2015,,"190,000",,"164,000",,"168,000",,"123,000",,"204,000"
2016,,"201,000",,"163,000",,"169,000",,"127,000",,"206,000"
2017,,"215,000",,"158,000",,"168,000",,"127,000",,"210,000"
2018,,"218,000",,"158,000",,"169,000",,"129,000",,"211,000"
2019,,"228,000",,"158,000",,"171,000",,"131,000",,"214,000"
2020,,"234,000",,"169,000",,"180,000",,"137,000",,"225,000"
2021,,"241,000",,"182,000",,"192,000",,"144,000",,"240,000"
,,,,,,,,,,
NORTH WEST,,,,,,,,,,
E12000002,,,,,,,,,,
1986,,"37,000",,"27,000",,"28,000",,"20,000",,"35,000"
1987,,"42,000",,"28,000",,"30,000",,"22,000",,"37,000"
1988,,"50,000",,"33,000",,"34,000",,"24,000",,"43,000"
1989,,"68,000",,"40,000",,"42,000",,"29,000",,"55,000"
1990,,"79,000",,"47,000",,"50,000",,"36,000",,"65,000"
1991,,"74,000",,"50,000",,"53,000",,"39,000",,"65,000"
1992,,"77,000",,"54,000",,"56,000",,"42,000",,"70,000"
1993,,"73,000",,"53,000",,"56,000",,"43,000",,"72,000"
1994,,"72,000",,"55,000",,"57,000",,"43,000",,"77,000"
1995,,"75,000",,"53,000",,"56,000",,"41,000",,"77,000"
1996,,"72,000",,"56,000",,"58,000",,"42,000",,"77,000"
1997,,"84,000",,"60,000",,"63,000",,"45,000",,"81,000"
1998,,"84,000",,"63,000",,"66,000",,"50,000",,"84,000"
1999,,"92,000",,"69,000",,"72,000",,"55,000",,"90,000"
2000,,"103,000",,"75,000",,"78,000",,"60,000",,"93,000"
2001,,"110,000",,"80,000",,"82,000",,"63,000",,"99,000"
2002,,"129,000",,"89,000",,"92,000",,"73,000",,"104,000"
2003,,"155,000",,"112,000",,"115,000",,"73,000",,"127,000"
2004,,"179,000",,"137,000",,"139,000",,"91,000",,"152,000"
2005,,"191,000",,"147,000",,"149,000",,"104,000",,"170,000"
2006,,"196,000",,"156,000",,"158,000",,"111,000",,"191,000"
2007,,"200,000",,"168,000",,"170,000",,"121,000",,"202,000"
2008,,"199,000",,"173,000",,"175,000",,"123,000",,"206,000"
2009,,"175,000",,"174,000",,"174,000",,"123,000",,"204,000"
2010,,"182,000",,"184,000",,"183,000",,"126,000",,"214,000"
2011,,"193,000",,"175,000",,"175,000",,"124,000",,"207,000"
2012,,"184,000",,"173,000",,"174,000",,"123,000",,"207,000"
2013,,"186,000",,"174,000",,"175,000",,"127,000",,"210,000"
2014,,"196,000",,"183,000",,"184,000",,"136,000",,"221,000"
2015,,"211,000",,"190,000",,"192,000",,"141,000",,"234,000"
2016,,"231,000",,"193,000",,"197,000",,"147,000",,"244,000"
2017,,"239,000",,"192,000",,"198,000",,"149,000",,"248,000"
2018,,"243,000",,"196,000",,"202,000",,"154,000",,"254,000"
2019,,"237,000",,"198,000",,"205,000",,"157,000",,"257,000"
2020,,"249,000",,"211,000",,"217,000",,"165,000",,"272,000"
2021,,"268,000",,"232,000",,"237,000",,"176,000",,"297,000"
,,,,,,,,,,
YORKSHIRE AND THE HUMBER,,,,,,,,,,
E12000003,,,,,,,,,,
1986,,"35,000",,"25,000",,"26,000",,"19,000",,"32,000"
1987,,"39,000",,"27,000",,"28,000",,"21,000",,"34,000"
1988,,"45,000",,"31,000",,"33,000",,"24,000",,"41,000"
1989,,"63,000",,"40,000",,"42,000",,"29,000",,"54,000"
1990,,"72,000",,"45,000",,"47,000",,"35,000",,"60,000"
1991,,"72,000",,"50,000",,"52,000",,"39,000",,"64,000"
1992,,"75,000",,"50,000",,"52,000",,"40,000",,"65,000"
1993,,"75,000",,"52,000",,"55,000",,"41,000",,"69,000"
1994,,"71,000",,"52,000",,"54,000",,"41,000",,"70,000"
1995,,"77,000",,"51,000",,"54,000",,"40,000",,"71,000"
1996,,"80,000",,"53,000",,"56,000",,"40,000",,"74,000"
1997,,"84,000",,"57,000",,"60,000",,"43,000",,"77,000"
1998,,"84,000",,"59,000",,"62,000",,"48,000",,"77,000"
1999,,"93,000",,"64,000",,"67,000",,"54,000",,"81,000"
2000,,"97,000",,"69,000",,"72,000",,"56,000",,"87,000"
2001,,"102,000",,"73,000",,"76,000",,"56,000",,"94,000"
2002,,"135,000",,"83,000",,"88,000",,"69,000",,"96,000"
2003,,"155,000",,"112,000",,"114,000",,"73,000",,"125,000"
2004,,"178,000",,"135,000",,"137,000",,"91,000",,"150,000"
2005,,"183,000",,"145,000",,"148,000",,"103,000",,"166,000"
2006,,"196,000",,"156,000",,"158,000",,"110,000",,"189,000"
2007,,"197,000",,"168,000",,"170,000",,"120,000",,"200,000"
2008,,"201,000",,"171,000",,"173,000",,"123,000",,"202,000"
