,v1,date,cpih_all_items_index,cpih_all_items_index_pred,cpih_all_items_index_error
90,270,01/07/1995,66.599998,64.437241,2.1627579
91,271,01/08/1995,66.900002,64.587761,2.3122406
92,272,01/09/1995,67.199997,64.738274,2.4617233
93,273,01/10/1995,67.099998,64.888786,2.2112122
94,274,01/11/1995,67.099998,65.039299,2.0606995
95,275,01/12/1995,67.5,65.189819,2.3101807
96,276,01/01/1996,67.400002,65.340332,2.0596695
97,277,01/02/1996,67.699997,65.490845,2.2091522
98,278,01/03/1996,67.900002,65.641357,2.2586441
99,279,01/04/1996,68.300003,65.79187,2.5081329
100,280,01/05/1996,68.599998,65.94239,2.657608
101,281,01/06/1996,68.699997,66.092903,2.6070938
102,282,01/07/1996,68.300003,66.243416,2.0565872
103,283,01/08/1996,68.699997,66.393929,2.3060684
104,284,01/09/1996,69,66.544441,2.4555588
105,285,01/10/1996,69.099998,66.694962,2.4050369
106,286,01/11/1996,69.199997,66.845474,2.3545227
107,287,01/12/1996,69.400002,66.995987,2.4040146
108,288,01/01/1997,69.199997,67.1465,2.0534973
109,289,01/02/1997,69.300003,67.29702,2.0029831
110,290,01/03/1997,69.400002,67.447533,1.9524689
111,291,01/04/1997,69.699997,67.598045,2.1019516
112,292,01/05/1997,70,67.748558,2.251442
113,293,01/06/1997,70.099998,67.899071,2.2009277
114,294,01/07/1997,70,68.049591,1.9504089
115,295,01/08/1997,70.300003,68.200104,2.0998993
116,296,01/09/1997,70.5,68.350616,2.1493835
117,297,01/10/1997,70.599998,68.501129,2.0988693
118,298,01/11/1997,70.599998,68.651642,1.9483566
119,299,01/12/1997,70.699997,68.802162,1.8978348
120,300,01/01/1998,70.400002,68.952675,1.4473267
121,301,01/02/1998,70.599998,69.103188,1.4968109
122,302,01/03/1998,70.800003,69.2537,1.5463028
123,303,01/04/1998,71.199997,69.404221,1.7957764
124,304,01/05/1998,71.5,69.554733,1.9452667
125,305,01/06/1998,71.400002,69.705246,1.6947556
126,306,01/07/1998,71.199997,69.855759,1.3442383
127,307,01/08/1998,71.400002,70.006271,1.3937302
128,308,01/09/1998,71.699997,70.156792,1.5432053
129,309,01/10/1998,71.699997,70.307304,1.3926926
130,310,01/11/1998,71.800003,70.457817,1.342186
131,311,01/12/1998,72,70.60833,1.3916702
132,312,01/01/1999,71.800003,70.758842,1.0411606
133,313,01/02/1999,71.900002,70.909363,0.99063873
134,314,01/03/1999,72.300003,71.059875,1.2401276
135,315,01/04/1999,72.599998,71.210388,1.3896103
136,316,01/05/1999,72.800003,71.360901,1.4391022
137,317,01/06/1999,72.699997,71.511414,1.1885834
138,318,01/07/1999,72.400002,71.661934,0.73806763
139,319,01/08/1999,72.599998,71.812447,0.78755188
140,320,01/09/1999,72.800003,71.962959,0.83704376
141,321,01/10/1999,72.800003,72.113472,0.68653107
142,322,01/11/1999,72.900002,72.263992,0.63600922
143,323,01/12/1999,73.099998,72.414505,0.68549347
144,324,01/01/2000,72.599998,72.565018,0.034980774
145,325,01/02/2000,72.800003,72.71553,0.084472656
146,326,01/03/2000,73,72.866043,0.13395691
147,327,01/04/2000,73.300003,73.016563,0.28343964
148,328,01/05/2000,73.5,73.167076,0.33292389
149,329,01/06/2000,73.599998,73.317589,0.28240967
150,330,01/07/2000,73.300003,73.468102,-0.16809845
151,331,01/08/2000,73.300003,73.618614,-0.31861115
152,332,01/09/2000,73.800003,73.769135,0.03086853
153,333,01/10/2000,73.800003,73.919647,-0.11964417
154,334,01/11/2000,74,74.07016,-0.070159912
155,335,01/12/2000,74,74.220673,-0.22067261
156,336,01/01/2001,73.5,74.371193,-0.87119293
157,337,01/02/2001,73.699997,74.521706,-0.82170868
158,338,01/03/2001,73.900002,74.672218,-0.7722168
159,339,01/04/2001,74.400002,74.822731,-0.42272949
160,340,01/05/2001,74.900002,74.973244,-0.073242188
161,341,01/06/2001,75,75.123764,-0.12376404
162,342,01/07/2001,74.5,75.274277,-0.77427673
163,343,01/08/2001,74.800003,75.424789,-0.62478638
164,344,01/09/2001,75,75.575302,-0.57530212
165,345,01/10/2001,74.900002,75.725815,-0.82581329
166,346,01/11/2001,74.900002,75.876335,-0.97633362
167,347,01/12/2001,75,76.026848,-1.0268478
168,348,01/01/2002,74.800003,76.177361,-1.3773575
169,349,01/02/2002,75,76.327873,-1.3278732
170,350,01/03/2002,75.199997,76.478394,-1.2783966
171,351,01/04/2002,75.599998,76.628906,-1.0289078
172,352,01/05/2002,75.800003,76.779419,-0.97941589
173,353,01/06/2002,75.800003,76.929932,-1.1299286
174,354,01/07/2002,75.599998,77.080444,-1.4804459
175,355,01/08/2002,75.800003,77.230965,-1.4309616
176,356,01/09/2002,76,77.381477,-1.3814774
177,357,01/10/2002,76.099998,77.53199,-1.4319916
178,358,01/11/2002,76.099998,77.682503,-1.5825043
179,359,01/12/2002,76.300003,77.833015,-1.5330124
180,360,01/01/2003,75.900002,77.983536,-2.0835342
181,361,01/02/2003,76.099998,78.134048,-2.03405
182,362,01/03/2003,76.400002,78.284561,-1.8845596
183,363,01/04/2003,76.800003,78.435074,-1.6350708
184,364,01/05/2003,76.800003,78.585594,-1.7855911
185,365,01/06/2003,76.699997,78.736107,-2.0361099
186,366,01/07/2003,76.599998,78.88662,-2.2866211
187,367,01/08/2003,76.800003,79.037132,-2.2371292
188,368,01/09/2003,77,79.187645,-2.187645
189,369,01/10/2003,77.099998,79.338165,-2.2381668
190,370,01/11/2003,77.099998,79.488678,-2.3886795
191,371,01/12/2003,77.300003,79.639191,-2.3391876
192,372,01/01/2004,77,79.789703,-2.7897034
193,373,01/02/2004,77.199997,79.940216,-2.7402191
194,374,01/03/2004,77.300003,80.090736,-2.7907333
195,375,01/04/2004,77.599998,80.241249,-2.6412506
196,376,01/05/2004,77.900002,80.391762,-2.4917603
197,377,01/06/2004,77.900002,80.542274,-2.6422729
198,378,01/07/2004,77.699997,80.692795,-2.9927979
199,379,01/08/2004,77.900002,80.843307,-2.943306
200,380,01/09/2004,77.900002,80.99382,-3.0938187
201,381,01/10/2004,78.099998,81.144333,-3.0443344
202,382,01/11/2004,78.300003,81.294846,-2.9948425
203,383,01/12/2004,78.599998,81.445366,-2.8453674
204,384,01/01/2005,78.300003,81.595879,-3.2958755
205,385,01/02/2005,78.5,81.746391,-3.2463913
206,386,01/03/2005,78.800003,81.896904,-3.0969009
207,387,01/04/2005,79.099998,82.047417,-2.9474182
208,388,01/05/2005,79.400002,82.197937,-2.7979355
209,389,01/06/2005,79.400002,82.34845,-2.9484482
210,390,01/07/2005,79.5,82.498962,-2.9989624
211,391,01/08/2005,79.699997,82.649475,-2.9494781
212,392,01/09/2005,79.900002,82.799995,-2.8999939
213,393,01/10/2005,80,82.950508,-2.9505081
214,394,01/11/2005,80,83.101021,-3.1010208
215,395,01/12/2005,80.300003,83.251534,-2.9515305
216,396,01/01/2006,80,83.402046,-3.4020462
217,397,01/02/2006,80.199997,83.552567,-3.3525696
218,398,01/03/2006,80.400002,83.703079,-3.3030777
219,399,01/04/2006,80.900002,83.853592,-2.9535904
220,400,01/05/2006,81.300003,84.004105,-2.7041016
221,401,01/06/2006,81.5,84.154617,-2.6546173
222,402,01/07/2006,81.5,84.305138,-2.8051376
223,403,01/08/2006,81.800003,84.45565,-2.6556473
224,404,01/09/2006,81.900002,84.606163,-2.7061615
225,405,01/10/2006,82,84.756676,-2.7566757
226,406,01/11/2006,82.199997,84.907196,-2.7071991
227,407,01/12/2006,82.599998,85.057709,-2.4577103
228,408,01/01/2007,82.099998,85.208221,-3.108223
229,409,01/02/2007,82.400002,85.358734,-2.9587326
230,410,01/03/2007,82.800003,85.509247,-2.7092438
231,411,01/04/2007,83.099998,85.659767,-2.5597687
232,412,01/05/2007,83.300003,85.81028,-2.5102768
233,413,01/06/2007,83.5,85.960793,-2.4607925
234,414,01/07/2007,83.099998,86.111305,-3.0113068
235,415,01/08/2007,83.400002,86.261818,-2.8618164
236,416,01/09/2007,83.5,86.412338,-2.9123383
237,417,01/10/2007,83.800003,86.562851,-2.7628479
238,418,01/11/2007,84.099998,86.713364,-2.6133652
239,419,01/12/2007,84.5,86.863876,-2.3638763
240,420,01/01/2008,84.099998,87.014397,-2.9143982
241,421,01/02/2008,84.599998,87.164909,-2.5649109
242,422,01/03/2008,84.900002,87.315422,-2.4154205
243,423,01/04/2008,85.599998,87.465935,-1.8659363
244,424,01/05/2008,86.099998,87.616447,-1.516449
245,425,01/06/2008,86.599998,87.766968,-1.1669693
246,426,01/07/2008,86.599998,87.91748,-1.317482
247,427,01/08/2008,87.099998,88.067993,-0.96799469
248,428,01/09/2008,87.5,88.218506,-0.71850586
249,429,01/10/2008,87.300003,88.369019,-1.0690155
250,430,01/11/2008,87.300003,88.519539,-1.2195358
251,431,01/12/2008,87.099998,88.670052,-1.5700531
252,432,01/01/2009,86.599998,88.820564,-2.2205658
253,433,01/02/2009,87.199997,88.971077,-1.77108
254,434,01/03/2009,87.300003,89.121597,-1.8215942
255,435,01/04/2009,87.5,89.27211,-1.77211
256,436,01/05/2009,87.900002,89.422623,-1.5226212
257,437,01/06/2009,88.099998,89.573135,-1.4731369
258,438,01/07/2009,88,89.723648,-1.7236481
259,439,01/08/2009,88.300003,89.874168,-1.5741653
260,440,01/09/2009,88.300003,90.024681,-1.724678
261,441,01/10/2009,88.400002,90.175194,-1.7751923
262,442,01/11/2009,88.599998,90.325706,-1.725708
263,443,01/12/2009,88.900002,90.476219,-1.5762177
264,444,01/01/2010,88.800003,90.62674,-1.8267365
265,445,01/02/2010,89,90.777252,-1.7772522
266,446,01/03/2010,89.400002,90.927765,-1.5277634
267,447,01/04/2010,89.900002,91.078278,-1.1782761
268,448,01/05/2010,90.099998,91.228798,-1.1287994
269,449,01/06/2010,90.199997,91.379311,-1.1793137
270,450,01/07/2010,90,91.529823,-1.5298233
271,451,01/08/2010,90.400002,91.680336,-1.2803345
272,452,01/09/2010,90.400002,91.830849,-1.4308472
