,Date,Region,House Price to Earnings Ratio
804,01/04/2010,Outer SE,6.3
805,01/04/2010,Outer Met,6.7
806,01/04/2010,London,7.4
807,01/04/2010,S West,6.6
808,01/04/2010,Wales,5.1
809,01/04/2010,Scotland,4.9
810,01/04/2010,N Ireland,4.8
811,01/04/2010,UK,5.4
812,01/07/2010,North,4.3
813,01/07/2010,Yorks & H,4.9
814,01/07/2010,N West,4.9
815,01/07/2010,E Mids,4.9
816,01/07/2010,W Mids,5.3
817,01/07/2010,E Anglia,5.5
818,01/07/2010,Outer SE,6.2
819,01/07/2010,Outer Met,6.7
820,01/07/2010,London,7.5
821,01/07/2010,S West,6.6
822,01/07/2010,Wales,5.1
823,01/07/2010,Scotland,4.7
824,01/07/2010,N Ireland,4.9
825,01/07/2010,UK,5.4
826,01/10/2010,North,4.2
827,01/10/2010,Yorks & H,4.7
828,01/10/2010,N West,4.8
829,01/10/2010,E Mids,4.8
830,01/10/2010,W Mids,5.1
831,01/10/2010,E Anglia,5.5
832,01/10/2010,Outer SE,6
833,01/10/2010,Outer Met,6.4
834,01/10/2010,London,7.2
835,01/10/2010,S West,6.3
836,01/10/2010,Wales,4.9
837,01/10/2010,Scotland,4.6
838,01/10/2010,N Ireland,4.6
839,01/10/2010,UK,5.2
840,01/01/2011,North,4.1
841,01/01/2011,Yorks & H,4.8
842,01/01/2011,N West,4.8
843,01/01/2011,E Mids,4.8
844,01/01/2011,W Mids,5.1
845,01/01/2011,E Anglia,5.4
846,01/01/2011,Outer SE,5.9
847,01/01/2011,Outer Met,6.5
848,01/01/2011,London,7.2
849,01/01/2011,S West,6.2
850,01/01/2011,Wales,4.9
851,01/01/2011,Scotland,4.6
852,01/01/2011,N Ireland,4.4
853,01/01/2011,UK,5.2
854,01/04/2011,North,4.3
855,01/04/2011,Yorks & H,4.9
856,01/04/2011,N West,4.9
857,01/04/2011,E Mids,4.9
858,01/04/2011,W Mids,5.1
859,01/04/2011,E Anglia,5.4
860,01/04/2011,Outer SE,6.1
861,01/04/2011,Outer Met,6.6
862,01/04/2011,London,7.5
863,01/04/2011,S West,6.4
864,01/04/2011,Wales,5.1
865,01/04/2011,Scotland,4.7
866,01/04/2011,N Ireland,4.5
867,01/04/2011,UK,5.3
868,01/07/2011,North,4.2
869,01/07/2011,Yorks & H,4.9
870,01/07/2011,N West,4.8
871,01/07/2011,E Mids,4.9
872,01/07/2011,W Mids,5.2
873,01/07/2011,E Anglia,5.5
874,01/07/2011,Outer SE,6.1
875,01/07/2011,Outer Met,6.7
876,01/07/2011,London,7.5
877,01/07/2011,S West,6.4
878,01/07/2011,Wales,5.1
879,01/07/2011,Scotland,4.6
880,01/07/2011,N Ireland,4.3
881,01/07/2011,UK,5.3
882,01/10/2011,North,4.2
883,01/10/2011,Yorks & H,4.8
884,01/10/2011,N West,4.7
885,01/10/2011,E Mids,4.8
886,01/10/2011,W Mids,5.1
887,01/10/2011,E Anglia,5.5
888,01/10/2011,Outer SE,6
889,01/10/2011,Outer Met,6.6
890,01/10/2011,London,7.6
891,01/10/2011,S West,6.3
892,01/10/2011,Wales,4.9
893,01/10/2011,Scotland,4.5
894,01/10/2011,N Ireland,4.1
895,01/10/2011,UK,5.2
896,01/01/2012,North,4.1
897,01/01/2012,Yorks & H,4.7
898,01/01/2012,N West,4.7
899,01/01/2012,E Mids,4.8
900,01/01/2012,W Mids,5
901,01/01/2012,E Anglia,5.4
902,01/01/2012,Outer SE,6
903,01/01/2012,Outer Met,6.5
904,01/01/2012,London,7.5
905,01/01/2012,S West,6.2
906,01/01/2012,Wales,4.7
907,01/01/2012,Scotland,4.5
908,01/01/2012,N Ireland,3.9
909,01/01/2012,UK,5.2
910,01/04/2012,North,4.1
911,01/04/2012,Yorks & H,4.7
912,01/04/2012,N West,4.7
913,01/04/2012,E Mids,4.8
914,01/04/2012,W Mids,5.1
915,01/04/2012,E Anglia,5.4
916,01/04/2012,Outer SE,6
917,01/04/2012,Outer Met,6.6
918,01/04/2012,London,7.7
919,01/04/2012,S West,6.3
920,01/04/2012,Wales,4.8
921,01/04/2012,Scotland,4.5
922,01/04/2012,N Ireland,4
923,01/04/2012,UK,5.2
924,01/07/2012,North,4.1
925,01/07/2012,Yorks & H,4.7
926,01/07/2012,N West,4.6
927,01/07/2012,E Mids,4.7
928,01/07/2012,W Mids,5
929,01/07/2012,E Anglia,5.4
930,01/07/2012,Outer SE,6.1
931,01/07/2012,Outer Met,6.5
932,01/07/2012,London,7.7
933,01/07/2012,S West,6.3
934,01/07/2012,Wales,4.8
935,01/07/2012,Scotland,4.3
936,01/07/2012,N Ireland,3.9
937,01/07/2012,UK,5.2
938,01/10/2012,North,4
939,01/10/2012,Yorks & H,4.6
940,01/10/2012,N West,4.6
941,01/10/2012,E Mids,4.7
942,01/10/2012,W Mids,5
943,01/10/2012,E Anglia,5.4
944,01/10/2012,Outer SE,6
945,01/10/2012,Outer Met,6.5
946,01/10/2012,London,7.6
947,01/10/2012,S West,6.2
948,01/10/2012,Wales,4.7
949,01/10/2012,Scotland,4.3
950,01/10/2012,N Ireland,3.7
951,01/10/2012,UK,5.1
952,01/01/2013,North,3.9
953,01/01/2013,Yorks & H,4.6
954,01/01/2013,N West,4.5
955,01/01/2013,E Mids,4.7
956,01/01/2013,W Mids,4.9
957,01/01/2013,E Anglia,5.3
958,01/01/2013,Outer SE,6
959,01/01/2013,Outer Met,6.5
960,01/01/2013,London,7.8
961,01/01/2013,S West,6.2
962,01/01/2013,Wales,4.7
963,01/01/2013,Scotland,4.1
964,01/01/2013,N Ireland,3.9
965,01/01/2013,UK,5.1
966,01/04/2013,North,4
967,01/04/2013,Yorks & H,4.6
968,01/04/2013,N West,4.6
969,01/04/2013,E Mids,4.8
970,01/04/2013,W Mids,5
971,01/04/2013,E Anglia,5.6
972,01/04/2013,Outer SE,6.1
973,01/04/2013,Outer Met,6.6
974,01/04/2013,London,8.1
975,01/04/2013,S West,6.3
976,01/04/2013,Wales,4.7
977,01/04/2013,Scotland,4.3
978,01/04/2013,N Ireland,3.8
979,01/04/2013,UK,5.2
980,01/07/2013,North,4
981,01/07/2013,Yorks & H,4.8
982,01/07/2013,N West,4.7
983,01/07/2013,E Mids,4.9
984,01/07/2013,W Mids,5.1
985,01/07/2013,E Anglia,5.7
986,01/07/2013,Outer SE,6.2
987,01/07/2013,Outer Met,6.8
988,01/07/2013,London,8.4
989,01/07/2013,S West,6.3
990,01/07/2013,Wales,4.8
991,01/07/2013,Scotland,4.3
992,01/07/2013,N Ireland,3.9
993,01/07/2013,UK,5.3
994,01/10/2013,North,4
995,01/10/2013,Yorks & H,4.9
996,01/10/2013,N West,4.7
997,01/10/2013,E Mids,4.9
998,01/10/2013,W Mids,5.2
999,01/10/2013,E Anglia,5.7
1000,01/10/2013,Outer SE,6.4
1001,01/10/2013,Outer Met,7
1002,01/10/2013,London,8.7
1003,01/10/2013,S West,6.5
1004,01/10/2013,Wales,4.9
1005,01/10/2013,Scotland,4.4
1006,01/10/2013,N Ireland,4
1007,01/10/2013,UK,5.4
1008,01/01/2014,North,4.1
1009,01/01/2014,Yorks & H,4.8
1010,01/01/2014,N West,4.7
1011,01/01/2014,E Mids,5.1
1012,01/01/2014,W Mids,5.2
1013,01/01/2014,E Anglia,5.8
1014,01/01/2014,Outer SE,6.5
1015,01/01/2014,Outer Met,7.2
1016,01/01/2014,London,9.2
1017,01/01/2014,S West,6.5
1018,01/01/2014,Wales,4.9
1019,01/01/2014,Scotland,4.4
1020,01/01/2014,N Ireland,4.1
1021,01/01/2014,UK,5.5
1022,01/04/2014,North,4.3
1023,01/04/2014,Yorks & H,4.9
1024,01/04/2014,N West,4.8
1025,01/04/2014,E Mids,5.2
1026,01/04/2014,W Mids,5.4
1027,01/04/2014,E Anglia,6.1
1028,01/04/2014,Outer SE,6.9
1029,01/04/2014,Outer Met,7.8
1030,01/04/2014,London,10.1
1031,01/04/2014,S West,6.8
1032,01/04/2014,Wales,5.1
1033,01/04/2014,Scotland,4.6
1034,01/04/2014,N Ireland,4.2
1035,01/04/2014,UK,5.8
1036,01/07/2014,North,4.2
1037,01/07/2014,Yorks & H,5
1038,01/07/2014,N West,4.9
1039,01/07/2014,E Mids,5.3
1040,01/07/2014,W Mids,5.5
1041,01/07/2014,E Anglia,6.2
1042,01/07/2014,Outer SE,7
1043,01/07/2014,Outer Met,7.8
1044,01/07/2014,London,10.2
1045,01/07/2014,S West,6.9
1046,01/07/2014,Wales,5
1047,01/07/2014,Scotland,4.6
1048,01/07/2014,N Ireland,4.3
1049,01/07/2014,UK,5.8
1050,01/10/2014,North,4.1
1051,01/10/2014,Yorks & H,4.9
1052,01/10/2014,N West,4.8
1053,01/10/2014,E Mids,5.2
1054,01/10/2014,W Mids,5.5
1055,01/10/2014,E Anglia,6.2
1056,01/10/2014,Outer SE,7
1057,01/10/2014,Outer Met,7.9
1058,01/10/2014,London,10.3
1059,01/10/2014,S West,6.9
1060,01/10/2014,Wales,4.9
1061,01/10/2014,Scotland,4.5
1062,01/10/2014,N Ireland,4.2
1063,01/10/2014,UK,5.8
1064,01/01/2015,North,4.3
1065,01/01/2015,Yorks & H,4.8
1066,01/01/2015,N West,4.8
1067,01/01/2015,E Mids,5.3
1068,01/01/2015,W Mids,5.4
1069,01/01/2015,E Anglia,6.1
1070,01/01/2015,Outer SE,7
1071,01/01/2015,Outer Met,8
1072,01/01/2015,London,10.4
1073,01/01/2015,S West,6.8
1074,01/01/2015,Wales,4.8
1075,01/01/2015,Scotland,4.5
1076,01/01/2015,N Ireland,4.2
1077,01/01/2015,UK,5.8
1078,01/04/2015,North,4.2
1079,01/04/2015,Yorks & H,5
1080,01/04/2015,N West,4.9
1081,01/04/2015,E Mids,5.3
1082,01/04/2015,W Mids,5.5
1083,01/04/2015,E Anglia,6.3
1084,01/04/2015,Outer SE,7.2
1085,01/04/2015,Outer Met,8.3
1086,01/04/2015,London,10.9
1087,01/04/2015,S West,7
1088,01/04/2015,Wales,5
1089,01/04/2015,Scotland,4.4
1090,01/04/2015,N Ireland,4.4
1091,01/04/2015,UK,6
1092,01/07/2015,North,4.2
1093,01/07/2015,Yorks & H,4.9
1094,01/07/2015,N West,4.8
1095,01/07/2015,E Mids,5.2
1096,01/07/2015,W Mids,5.5
1097,01/07/2015,E Anglia,6.2
1098,01/07/2015,Outer SE,7.3
1099,01/07/2015,Outer Met,8.5
1100,01/07/2015,London,11.2
1101,01/07/2015,S West,7.1
1102,01/07/2015,Wales,5
1103,01/07/2015,Scotland,4.4
1104,01/07/2015,N Ireland,4.4
1105,01/07/2015,UK,6
1106,01/10/2015,North,4.2
1107,01/10/2015,Yorks & H,4.8
1108,01/10/2015,N West,4.8
1109,01/10/2015,E Mids,5.2
1110,01/10/2015,W Mids,5.5
1111,01/10/2015,E Anglia,6.2
1112,01/10/2015,Outer SE,7.3
1113,01/10/2015,Outer Met,8.7
1114,01/10/2015,London,11.5
1115,01/10/2015,S West,7
1116,01/10/2015,Wales,4.8
1117,01/10/2015,Scotland,4.4
1118,01/10/2015,N Ireland,4.4
1119,01/10/2015,UK,6
1120,01/01/2016,North,4.2
1121,01/01/2016,Yorks & H,4.8
1122,01/01/2016,N West,4.7
1123,01/01/2016,E Mids,5.2
1124,01/01/2016,W Mids,5.5
1125,01/01/2016,E Anglia,6.3
1126,01/01/2016,Outer SE,7.4
1127,01/01/2016,Outer Met,8.9
1128,01/01/2016,London,11.4
1129,01/01/2016,S West,7.1
1130,01/01/2016,Wales,4.8
1131,01/01/2016,Scotland,4.3
1132,01/01/2016,N Ireland,4.1
1133,01/01/2016,UK,6
1134,01/04/2016,North,4.1
1135,01/04/2016,Yorks & H,5
1136,01/04/2016,N West,4.9
1137,01/04/2016,E Mids,5.3
1138,01/04/2016,W Mids,5.6
1139,01/04/2016,E Anglia,6.5
1140,01/04/2016,Outer SE,7.6
1141,01/04/2016,Outer Met,9.1
1142,01/04/2016,London,11.7
1143,01/04/2016,S West,7.2
1144,01/04/2016,Wales,4.9
1145,01/04/2016,Scotland,4.3
1146,01/04/2016,N Ireland,4.3
1147,01/04/2016,UK,6.1
1148,01/07/2016,North,4.1
1149,01/07/2016,Yorks & H,5
1150,01/07/2016,N West,4.9
1151,01/07/2016,E Mids,5.4
1152,01/07/2016,W Mids,5.6
1153,01/07/2016,E Anglia,6.5
1154,01/07/2016,Outer SE,7.7
1155,01/07/2016,Outer Met,9.2
1156,01/07/2016,London,11.6
1157,01/07/2016,S West,7.3
1158,01/07/2016,Wales,4.9
1159,01/07/2016,Scotland,4.4
1160,01/07/2016,N Ireland,4.3
1161,01/07/2016,UK,6.1
1162,01/10/2016,North,4.1
1163,01/10/2016,Yorks & H,4.9
1164,01/10/2016,N West,4.9
1165,01/10/2016,E Mids,5.4
1166,01/10/2016,W Mids,5.5
1167,01/10/2016,E Anglia,6.6
1168,01/10/2016,Outer SE,7.7
1169,01/10/2016,Outer Met,9.1
1170,01/10/2016,London,11.4
1171,01/10/2016,S West,7.2
1172,01/10/2016,Wales,4.8
1173,01/10/2016,Scotland,4.4
1174,01/10/2016,N Ireland,4.3
1175,01/10/2016,UK,6.1
1176,01/01/2017,North,4
1177,01/01/2017,Yorks & H,4.9
1178,01/01/2017,N West,4.9
1179,01/01/2017,E Mids,5.4
1180,01/01/2017,W Mids,5.6
1181,01/01/2017,E Anglia,6.6
1182,01/01/2017,Outer SE,7.7
1183,01/01/2017,Outer Met,9
1184,01/01/2017,London,11.4
1185,01/01/2017,S West,7.3
1186,01/01/2017,Wales,4.7
1187,01/01/2017,Scotland,4.4
1188,01/01/2017,N Ireland,4.2
1189,01/01/2017,UK,6.1
1190,01/04/2017,North,4.1
1191,01/04/2017,Yorks & H,5
1192,01/04/2017,N West,5
1193,01/04/2017,E Mids,5.4
1194,01/04/2017,W Mids,5.7
1195,01/04/2017,E Anglia,6.6
1196,01/04/2017,Outer SE,7.8
1197,01/04/2017,Outer Met,9.1
1198,01/04/2017,London,11.3
1199,01/04/2017,S West,7.4
1200,01/04/2017,Wales,4.9
1201,01/04/2017,Scotland,4.3
1202,01/04/2017,N Ireland,4.4
1203,01/04/2017,UK,6.1
1204,01/07/2017,North,4.1
1205,01/07/2017,Yorks & H,4.9
1206,01/07/2017,N West,4.9
1207,01/07/2017,E Mids,5.5
1208,01/07/2017,W Mids,5.7
1209,01/07/2017,E Anglia,6.6
1210,01/07/2017,Outer SE,7.8
1211,01/07/2017,Outer Met,9.1
1212,01/07/2017,London,11
1213,01/07/2017,S West,7.4
1214,01/07/2017,Wales,4.9
1215,01/07/2017,Scotland,4.4
1216,01/07/2017,N Ireland,4.4
1217,01/07/2017,UK,6.1
1218,01/10/2017,North,4
1219,01/10/2017,Yorks & H,4.8
1220,01/10/2017,N West,4.9
1221,01/10/2017,E Mids,5.5
1222,01/10/2017,W Mids,5.6
1223,01/10/2017,E Anglia,6.6
1224,01/10/2017,Outer SE,7.7
1225,01/10/2017,Outer Met,8.9
1226,01/10/2017,London,10.9
1227,01/10/2017,S West,7.3
1228,01/10/2017,Wales,4.9
1229,01/10/2017,Scotland,4.4
1230,01/10/2017,N Ireland,4.3
1231,01/10/2017,UK,6
1232,01/01/2018,North,4.1
1233,01/01/2018,Yorks & H,4.9
1234,01/01/2018,N West,4.9
1235,01/01/2018,E Mids,5.4
1236,01/01/2018,W Mids,5.6
1237,01/01/2018,E Anglia,6.5
1238,01/01/2018,Outer SE,7.6
1239,01/01/2018,Outer Met,8.9
1240,01/01/2018,London,10.9
1241,01/01/2018,S West,7.3
1242,01/01/2018,Wales,4.9
1243,01/01/2018,Scotland,4.2
1244,01/01/2018,N Ireland,4.5
1245,01/01/2018,UK,6
1246,01/04/2018,North,4
1247,01/04/2018,Yorks & H,4.8
1248,01/04/2018,N West,4.9
1249,01/04/2018,E Mids,5.5
1250,01/04/2018,W Mids,5.6
1251,01/04/2018,E Anglia,6.6
1252,01/04/2018,Outer SE,7.7
1253,01/04/2018,Outer Met,8.8
1254,01/04/2018,London,10.7
1255,01/04/2018,S West,7.3
1256,01/04/2018,Wales,5
1257,01/04/2018,Scotland,4.3
1258,01/04/2018,N Ireland,4.4
1259,01/04/2018,UK,6
1260,01/07/2018,North,3.9
1261,01/07/2018,Yorks & H,5
1262,01/07/2018,N West,5
1263,01/07/2018,E Mids,5.6
1264,01/07/2018,W Mids,5.7
1265,01/07/2018,E Anglia,6.6
1266,01/07/2018,Outer SE,7.6
1267,01/07/2018,Outer Met,8.8
1268,01/07/2018,London,10.6
1269,01/07/2018,S West,7.3
1270,01/07/2018,Wales,4.9
1271,01/07/2018,Scotland,4.3
1272,01/07/2018,N Ireland,4.4
1273,01/07/2018,UK,6
1274,01/10/2018,North,3.9
1275,01/10/2018,Yorks & H,4.8
1276,01/10/2018,N West,4.9
1277,01/10/2018,E Mids,5.5
1278,01/10/2018,W Mids,5.6
1279,01/10/2018,E Anglia,6.6
1280,01/10/2018,Outer SE,7.4
1281,01/10/2018,Outer Met,8.5
1282,01/10/2018,London,10.5
1283,01/10/2018,S West,7.3
1284,01/10/2018,Wales,4.9
1285,01/10/2018,Scotland,4.3
1286,01/10/2018,N Ireland,4.4
1287,01/10/2018,UK,5.9
1288,01/01/2019,North,4
1289,01/01/2019,Yorks & H,4.8
1290,01/01/2019,N West,4.8
1291,01/01/2019,E Mids,5.4
1292,01/01/2019,W Mids,5.6
1293,01/01/2019,E Anglia,6.5
1294,01/01/2019,Outer SE,7.3
1295,01/01/2019,Outer Met,8.5
1296,01/01/2019,London,10.2
1297,01/01/2019,S West,7.1
1298,01/01/2019,Wales,4.8
1299,01/01/2019,Scotland,4.2
1300,01/01/2019,N Ireland,4.5
1301,01/01/2019,UK,5.9
1302,01/04/2019,North,4
1303,01/04/2019,Yorks & H,4.8
1304,01/04/2019,N West,4.8
1305,01/04/2019,E Mids,5.5
1306,01/04/2019,W Mids,5.7
1307,01/04/2019,E Anglia,6.5
1308,01/04/2019,Outer SE,7.3
1309,01/04/2019,Outer Met,8.5
1310,01/04/2019,London,10.3
1311,01/04/2019,S West,7.2
1312,01/04/2019,Wales,4.9
1313,01/04/2019,Scotland,4.2
1314,01/04/2019,N Ireland,4.5
1315,01/04/2019,UK,5.9
1316,01/07/2019,North,3.9
1317,01/07/2019,Yorks & H,4.9
1318,01/07/2019,N West,4.9
1319,01/07/2019,E Mids,5.5
1320,01/07/2019,W Mids,5.8
1321,01/07/2019,E Anglia,6.6
1322,01/07/2019,Outer SE,7.4
1323,01/07/2019,Outer Met,8.5
1324,01/07/2019,London,10.1
1325,01/07/2019,S West,7.2
1326,01/07/2019,Wales,4.9
1327,01/07/2019,Scotland,4.3
1328,01/07/2019,N Ireland,4.5
1329,01/07/2019,UK,5.9
1330,01/10/2019,North,4
1331,01/10/2019,Yorks & H,4.8
1332,01/10/2019,N West,4.9
1333,01/10/2019,E Mids,5.5
1334,01/10/2019,W Mids,5.7
1335,01/10/2019,E Anglia,6.5
1336,01/10/2019,Outer SE,7.3
1337,01/10/2019,Outer Met,8.5
1338,01/10/2019,London,10
1339,01/10/2019,S West,7.2
1340,01/10/2019,Wales,4.9
1341,01/10/2019,Scotland,4.3
1342,01/10/2019,N Ireland,4.4
1343,01/10/2019,UK,5.9
1344,01/01/2020,North,4
1345,01/01/2020,Yorks & H,5
1346,01/01/2020,N West,5
1347,01/01/2020,E Mids,5.5
1348,01/01/2020,W Mids,5.7
1349,01/01/2020,E Anglia,6.5
1350,01/01/2020,Outer SE,7.5
1351,01/01/2020,Outer Met,8.5
1352,01/01/2020,London,10
1353,01/01/2020,S West,7.1
1354,01/01/2020,Wales,5.1
1355,01/01/2020,Scotland,4.2
1356,01/01/2020,N Ireland,4.5
1357,01/01/2020,UK,5.9
1358,01/04/2020,North,4
1359,01/04/2020,Yorks & H,4.9
1360,01/04/2020,N West,5
1361,01/04/2020,E Mids,5.5
1362,01/04/2020,W Mids,5.7
1363,01/04/2020,E Anglia,6.5
1364,01/04/2020,Outer SE,7.6
1365,01/04/2020,Outer Met,8.6
1366,01/04/2020,London,10.3
1367,01/04/2020,S West,7.2
1368,01/04/2020,Wales,5.1
1369,01/04/2020,Scotland,4.3
1370,01/04/2020,N Ireland,4.5
1371,01/04/2020,UK,6
1372,01/07/2020,North,4
1373,01/07/2020,Yorks & H,5
1374,01/07/2020,N West,5
1375,01/07/2020,E Mids,5.7
1376,01/07/2020,W Mids,5.8
1377,01/07/2020,E Anglia,6.7
1378,01/07/2020,Outer SE,7.8
1379,01/07/2020,Outer Met,8.8
1380,01/07/2020,London,10.3
1381,01/07/2020,S West,7.4
1382,01/07/2020,Wales,5.1
1383,01/07/2020,Scotland,4.3
1384,01/07/2020,N Ireland,4.5
1385,01/07/2020,UK,6.1
1386,01/10/2020,North,4.2
1387,01/10/2020,Yorks & H,5.1
1388,01/10/2020,N West,5.1
1389,01/10/2020,E Mids,5.8
1390,01/10/2020,W Mids,5.9
1391,01/10/2020,E Anglia,6.8
1392,01/10/2020,Outer SE,7.8
1393,01/10/2020,Outer Met,8.8
1394,01/10/2020,London,10.4
1395,01/10/2020,S West,7.6
1396,01/10/2020,Wales,5.2
1397,01/10/2020,Scotland,4.3
1398,01/10/2020,N Ireland,4.6
1399,01/10/2020,UK,6.2
1400,01/01/2021,North,4.1
1401,01/01/2021,Yorks & H,5.2
1402,01/01/2021,N West,5.3
1403,01/01/2021,E Mids,5.8
1404,01/01/2021,W Mids,5.9
1405,01/01/2021,E Anglia,6.8
1406,01/01/2021,Outer SE,7.8
1407,01/01/2021,Outer Met,8.8
1408,01/01/2021,London,10.3
1409,01/01/2021,S West,7.5
1410,01/01/2021,Wales,5.3
1411,01/01/2021,Scotland,4.4
1412,01/01/2021,N Ireland,4.6
1413,01/01/2021,UK,6.2
1414,01/04/2021,North,4.3
1415,01/04/2021,Yorks & H,5.4
1416,01/04/2021,N West,5.4
1417,01/04/2021,E Mids,6.1
1418,01/04/2021,W Mids,6
1419,01/04/2021,E Anglia,7
1420,01/04/2021,Outer SE,8.2
1421,01/04/2021,Outer Met,9.1
1422,01/04/2021,London,10.8
1423,01/04/2021,S West,7.9
1424,01/04/2021,Wales,5.5
1425,01/04/2021,Scotland,4.5
1426,01/04/2021,N Ireland,4.8
1427,01/04/2021,UK,6.4
1428,01/07/2021,North,4.3
1429,01/07/2021,Yorks & H,5.4
1430,01/07/2021,N West,5.4
1431,01/07/2021,E Mids,6.1
1432,01/07/2021,W Mids,6.1
1433,01/07/2021,E Anglia,7.1
1434,01/07/2021,Outer SE,8.2
1435,01/07/2021,Outer Met,9.2
1436,01/07/2021,London,10.5
1437,01/07/2021,S West,8.1
1438,01/07/2021,Wales,5.7
1439,01/07/2021,Scotland,4.6
1440,01/07/2021,N Ireland,4.9
1441,01/07/2021,UK,6.5
1442,01/10/2021,North,4.3
1443,01/10/2021,Yorks & H,5.4
1444,01/10/2021,N West,5.5
1445,01/10/2021,E Mids,6.2
1446,01/10/2021,W Mids,6.2
1447,01/10/2021,E Anglia,7.2
1448,01/10/2021,Outer SE,8.4
1449,01/10/2021,Outer Met,9.4
1450,01/10/2021,London,10.6
1451,01/10/2021,S West,8.2
1452,01/10/2021,Wales,5.8
1453,01/10/2021,Scotland,4.6
1454,01/10/2021,N Ireland,4.8
1455,01/10/2021,UK,6.6
1456,01/01/2022,North,4.4
1457,01/01/2022,Yorks & H,5.6
1458,01/01/2022,N West,5.7
1459,01/01/2022,E Mids,6.3
1460,01/01/2022,W Mids,6.4
1461,01/01/2022,E Anglia,7.4
1462,01/01/2022,Outer SE,8.5
1463,01/01/2022,Outer Met,9.5
1464,01/01/2022,London,10.7
1465,01/01/2022,S West,8.2
1466,01/01/2022,Wales,5.8
1467,01/01/2022,Scotland,4.7
1468,01/01/2022,N Ireland,4.8
1469,01/01/2022,UK,6.7
1470,01/04/2022,North,4.5
1471,01/04/2022,Yorks & H,5.7
1472,01/04/2022,N West,5.9
1473,01/04/2022,E Mids,6.5
1474,01/04/2022,W Mids,6.6
1475,01/04/2022,E Anglia,7.6
1476,01/04/2022,Outer SE,8.7
1477,01/04/2022,Outer Met,9.7
1478,01/04/2022,London,11.1
1479,01/04/2022,S West,8.5
1480,01/04/2022,Wales,5.9
1481,01/04/2022,Scotland,4.8
1482,01/04/2022,N Ireland,5.1
1483,01/04/2022,UK,6.9
1484,01/07/2022,North,4.5
1485,01/07/2022,Yorks & H,5.8
1486,01/07/2022,N West,5.8
1487,01/07/2022,E Mids,6.7
1488,01/07/2022,W Mids,6.6
1489,01/07/2022,E Anglia,7.6
1490,01/07/2022,Outer SE,8.8
1491,01/07/2022,Outer Met,9.7
1492,01/07/2022,London,10.8
1493,01/07/2022,S West,8.8
1494,01/07/2022,Wales,6.1
1495,01/07/2022,Scotland,4.8
1496,01/07/2022,N Ireland,5.2
1497,01/07/2022,UK,6.9
1498,01/10/2022,North,4.4
1499,01/10/2022,Yorks & H,5.5
1500,01/10/2022,N West,5.7
1501,01/10/2022,E Mids,6.3
1502,01/10/2022,W Mids,6.4
1503,01/10/2022,E Anglia,7.5
1504,01/10/2022,Outer SE,8.5
1505,01/10/2022,Outer Met,9.4
1506,01/10/2022,London,10.6
1507,01/10/2022,S West,8.2
1508,01/10/2022,Wales,5.8
1509,01/10/2022,Scotland,4.6
1510,01/10/2022,N Ireland,4.9
1511,01/10/2022,UK,6.6
