Borough code,Borough,Year/Month,Average House Price £
E09000001,City of London,Jan-95,"91,449"
E09000001,City of London,Feb-95,"82,203"
E09000001,City of London,Mar-95,"79,121"
E09000001,City of London,Apr-95,"77,101"
E09000001,City of London,May-95,"84,409"
E09000001,City of London,Jun-95,"94,901"
E09000001,City of London,Jul-95,"110,128"
E09000001,City of London,Aug-95,"112,329"
E09000001,City of London,Sep-95,"104,473"
E09000001,City of London,Oct-95,"108,038"
E09000001,City of London,Nov-95,"117,636"
E09000001,City of London,Dec-95,"127,232"
E09000001,City of London,Jan-96,"108,999"
E09000001,City of London,Feb-96,"93,357"
E09000001,City of London,Mar-96,"93,707"
E09000001,City of London,Apr-96,"120,543"
E09000001,City of London,May-96,"112,050"
E09000001,City of London,Jun-96,"114,226"
E09000001,City of London,Jul-96,"97,547"
E09000001,City of London,Aug-96,"114,179"
E09000001,City of London,Sep-96,"108,138"
E09000001,City of London,Oct-96,"98,934"
E09000001,City of London,Nov-96,"99,707"
E09000001,City of London,Dec-96,"106,427"
E09000001,City of London,Jan-97,"116,343"
E09000001,City of London,Feb-97,"111,142"
E09000001,City of London,Mar-97,"107,488"
E09000001,City of London,Apr-97,"108,480"
E09000001,City of London,May-97,"115,453"
E09000001,City of London,Jun-97,"118,317"
E09000001,City of London,Jul-97,"117,034"
E09000001,City of London,Aug-97,"113,585"
E09000001,City of London,Sep-97,"115,159"
E09000001,City of London,Oct-97,"121,251"
E09000001,City of London,Nov-97,"131,074"
E09000001,City of London,Dec-97,"130,035"
E09000001,City of London,Jan-98,"124,382"
E09000001,City of London,Feb-98,"143,829"
E09000001,City of London,Mar-98,"156,508"
E09000001,City of London,Apr-98,"163,403"
E09000001,City of London,May-98,"143,625"
E09000001,City of London,Jun-98,"132,251"
E09000001,City of London,Jul-98,"140,377"
E09000001,City of London,Aug-98,"148,993"
E09000001,City of London,Sep-98,"152,807"
E09000001,City of London,Oct-98,"162,020"
E09000001,City of London,Nov-98,"152,387"
E09000001,City of London,Dec-98,"155,801"
E09000001,City of London,Jan-99,"149,143"
E09000001,City of London,Feb-99,"164,545"
E09000001,City of London,Mar-99,"174,586"
E09000001,City of London,Apr-99,"191,157"
E09000001,City of London,May-99,"191,081"
E09000001,City of London,Jun-99,"185,993"
E09000001,City of London,Jul-99,"164,056"
E09000001,City of London,Aug-99,"160,905"
E09000001,City of London,Sep-99,"166,193"
E09000001,City of London,Oct-99,"163,490"
E09000001,City of London,Nov-99,"175,143"
E09000001,City of London,Dec-99,"169,309"
E09000001,City of London,Jan-00,"173,738"
E09000001,City of London,Feb-00,"174,152"
E09000001,City of London,Mar-00,"178,339"
E09000001,City of London,Apr-00,"183,101"
E09000001,City of London,May-00,"175,041"
E09000001,City of London,Jun-00,"198,191"
E09000001,City of London,Jul-00,"214,852"
E09000001,City of London,Aug-00,"221,952"
E09000001,City of London,Sep-00,"223,175"
E09000001,City of London,Oct-00,"245,062"
E09000001,City of London,Nov-00,"321,773"
E09000001,City of London,Dec-00,"314,772"
E09000001,City of London,Jan-01,"284,262"
E09000001,City of London,Feb-01,"198,137"
E09000001,City of London,Mar-01,"189,033"
E09000001,City of London,Apr-01,"205,494"
E09000001,City of London,May-01,"223,459"
E09000001,City of London,Jun-01,"242,435"
E09000001,City of London,Jul-01,"230,700"
E09000001,City of London,Aug-01,"231,632"
E09000001,City of London,Sep-01,"229,806"
E09000001,City of London,Oct-01,"263,887"
E09000001,City of London,Nov-01,"346,458"
E09000001,City of London,Dec-01,"362,204"
E09000001,City of London,Jan-02,"344,239"
E09000001,City of London,Feb-02,"284,015"
E09000001,City of London,Mar-02,"253,697"
E09000001,City of London,Apr-02,"245,313"
E09000001,City of London,May-02,"227,281"
E09000001,City of London,Jun-02,"253,130"
E09000001,City of London,Jul-02,"262,428"
E09000001,City of London,Aug-02,"274,016"
E09000001,City of London,Sep-02,"277,047"
E09000001,City of London,Oct-02,"271,941"
E09000001,City of London,Nov-02,"280,283"
E09000001,City of London,Dec-02,"262,197"
E09000001,City of London,Jan-03,"261,645"
E09000001,City of London,Feb-03,"263,992"
E09000001,City of London,Mar-03,"291,969"
E09000001,City of London,Apr-03,"295,174"
E09000001,City of London,May-03,"284,860"
E09000001,City of London,Jun-03,"267,208"
E09000001,City of London,Jul-03,"260,204"
E09000001,City of London,Aug-03,"245,449"
E09000001,City of London,Sep-03,"243,184"
E09000001,City of London,Oct-03,"252,980"
E09000001,City of London,Nov-03,"277,515"
E09000001,City of London,Dec-03,"305,556"
E09000001,City of London,Jan-04,"326,913"
E09000001,City of London,Feb-04,"301,092"
E09000001,City of London,Mar-04,"272,731"
E09000001,City of London,Apr-04,"269,514"
E09000001,City of London,May-04,"280,062"
E09000001,City of London,Jun-04,"297,421"
E09000001,City of London,Jul-04,"298,293"
E09000001,City of London,Aug-04,"307,094"
E09000001,City of London,Sep-04,"305,126"
E09000001,City of London,Oct-04,"289,912"
E09000001,City of London,Nov-04,"333,075"
E09000001,City of London,Dec-04,"331,161"
E09000001,City of London,Jan-05,"330,363"
E09000001,City of London,Feb-05,"288,867"
E09000001,City of London,Mar-05,"304,851"
E09000001,City of London,Apr-05,"317,398"
E09000001,City of London,May-05,"311,442"
E09000001,City of London,Jun-05,"282,866"
E09000001,City of London,Jul-05,"283,641"
E09000001,City of London,Aug-05,"305,351"
E09000001,City of London,Sep-05,"310,906"
E09000001,City of London,Oct-05,"338,837"
E09000001,City of London,Nov-05,"327,256"
E09000001,City of London,Dec-05,"339,626"
E09000001,City of London,Jan-06,"316,121"
E09000001,City of London,Feb-06,"323,653"
E09000001,City of London,Mar-06,"325,106"
E09000001,City of London,Apr-06,"319,580"
E09000001,City of London,May-06,"313,126"
E09000001,City of London,Jun-06,"304,977"
E09000001,City of London,Jul-06,"338,307"
E09000001,City of London,Aug-06,"358,438"
E09000001,City of London,Sep-06,"377,545"
E09000001,City of London,Oct-06,"365,177"
E09000001,City of London,Nov-06,"354,438"
E09000001,City of London,Dec-06,"365,755"
E09000001,City of London,Jan-07,"360,923"
E09000001,City of London,Feb-07,"399,437"
E09000001,City of London,Mar-07,"403,144"
E09000001,City of London,Apr-07,"419,005"
E09000001,City of London,May-07,"411,183"
E09000001,City of London,Jun-07,"436,079"
E09000001,City of London,Jul-07,"467,348"
E09000001,City of London,Aug-07,"473,887"
E09000001,City of London,Sep-07,"463,525"
E09000001,City of London,Oct-07,"456,422"
E09000001,City of London,Nov-07,"450,831"
E09000001,City of London,Dec-07,"464,277"
E09000001,City of London,Jan-08,"471,861"
E09000001,City of London,Feb-08,"453,707"
E09000001,City of London,Mar-08,"404,849"
E09000001,City of London,Apr-08,"382,571"
E09000001,City of London,May-08,"389,733"
E09000001,City of London,Jun-08,"420,665"
E09000001,City of London,Jul-08,"442,352"
E09000001,City of London,Aug-08,"472,397"
E09000001,City of London,Sep-08,"466,082"
E09000001,City of London,Oct-08,"440,012"
E09000001,City of London,Nov-08,"396,155"
E09000001,City of London,Dec-08,"387,178"
E09000001,City of London,Jan-09,"400,317"
E09000001,City of London,Feb-09,"393,361"
E09000001,City of London,Mar-09,"399,220"
E09000001,City of London,Apr-09,"345,338"
E09000001,City of London,May-09,"373,504"
E09000001,City of London,Jun-09,"348,751"
E09000001,City of London,Jul-09,"379,109"
E09000001,City of London,Aug-09,"360,545"
E09000001,City of London,Sep-09,"391,138"
E09000001,City of London,Oct-09,"399,867"
E09000001,City of London,Nov-09,"397,909"
