,Region,House Price to Earnings Ratio,Date
185,E Mids,3.1,04/01/1999
186,W Mids,3.4,04/01/1999
187,E Anglia,3.4,04/01/1999
188,Outer SE,3.7,04/01/1999
189,Outer Met,4.3,04/01/1999
190,London,4.4,04/01/1999
191,S West,3.9,04/01/1999
192,Wales,3,04/01/1999
193,Scotland,3.2,04/01/1999
194,N Ireland,3.3,04/01/1999
195,UK,3.3,04/01/1999
196,North,2.7,07/01/1999
197,Yorks & H,3,07/01/1999
198,N West,3.1,07/01/1999
199,E Mids,3.1,07/01/1999
200,W Mids,3.4,07/01/1999
201,E Anglia,3.5,07/01/1999
202,Outer SE,3.9,07/01/1999
203,Outer Met,4.4,07/01/1999
204,London,4.6,07/01/1999
205,S West,4,07/01/1999
206,Wales,3,07/01/1999
207,Scotland,3.2,07/01/1999
208,N Ireland,3.5,07/01/1999
209,UK,3.4,07/01/1999
210,North,2.7,10/01/1999
211,Yorks & H,3,10/01/1999
212,N West,3.1,10/01/1999
213,E Mids,3.1,10/01/1999
214,W Mids,3.5,10/01/1999
215,E Anglia,3.6,10/01/1999
216,Outer SE,4,10/01/1999
217,Outer Met,4.6,10/01/1999
218,London,4.8,10/01/1999
219,S West,4.2,10/01/1999
220,Wales,3.1,10/01/1999
221,Scotland,3.1,10/01/1999
222,N Ireland,3.3,10/01/1999
223,UK,3.5,10/01/1999
224,North,2.7,01/01/2000
225,Yorks & H,3,01/01/2000
226,N West,3.1,01/01/2000
227,E Mids,3.2,01/01/2000
228,W Mids,3.5,01/01/2000
229,E Anglia,3.8,01/01/2000
230,Outer SE,4.2,01/01/2000
231,Outer Met,4.8,01/01/2000
232,London,5.1,01/01/2000
233,S West,4.4,01/01/2000
234,Wales,3.1,01/01/2000
235,Scotland,3.2,01/01/2000
236,N Ireland,3.5,01/01/2000
237,UK,3.6,01/01/2000
238,North,2.8,04/01/2000
239,Yorks & H,3.1,04/01/2000
240,N West,3.2,04/01/2000
241,E Mids,3.3,04/01/2000
242,W Mids,3.7,04/01/2000
243,E Anglia,3.9,04/01/2000
244,Outer SE,4.4,04/01/2000
245,Outer Met,5,04/01/2000
246,London,5.2,04/01/2000
247,S West,4.5,04/01/2000
248,Wales,3.1,04/01/2000
249,Scotland,3.2,04/01/2000
250,N Ireland,3.7,04/01/2000
251,UK,3.7,04/01/2000
252,North,2.7,07/01/2000
253,Yorks & H,3,07/01/2000
254,N West,3.1,07/01/2000
255,E Mids,3.3,07/01/2000
