,Region,House Price to Earnings Ratio,Date
797,UK,5.3,01/01/2010
798,North,4.3,04/01/2010
799,Yorks & H,5,04/01/2010
800,N West,4.9,04/01/2010
801,E Mids,4.9,04/01/2010
802,W Mids,5.3,04/01/2010
803,E Anglia,5.6,04/01/2010
804,Outer SE,6.3,04/01/2010
805,Outer Met,6.7,04/01/2010
806,London,7.4,04/01/2010
807,S West,6.6,04/01/2010
808,Wales,5.1,04/01/2010
809,Scotland,4.9,04/01/2010
810,N Ireland,4.8,04/01/2010
811,UK,5.4,04/01/2010
812,North,4.3,07/01/2010
813,Yorks & H,4.9,07/01/2010
814,N West,4.9,07/01/2010
815,E Mids,4.9,07/01/2010
816,W Mids,5.3,07/01/2010
817,E Anglia,5.5,07/01/2010
818,Outer SE,6.2,07/01/2010
819,Outer Met,6.7,07/01/2010
820,London,7.5,07/01/2010
821,S West,6.6,07/01/2010
822,Wales,5.1,07/01/2010
823,Scotland,4.7,07/01/2010
824,N Ireland,4.9,07/01/2010
825,UK,5.4,07/01/2010
826,North,4.2,10/01/2010
827,Yorks & H,4.7,10/01/2010
828,N West,4.8,10/01/2010
829,E Mids,4.8,10/01/2010
830,W Mids,5.1,10/01/2010
831,E Anglia,5.5,10/01/2010
832,Outer SE,6,10/01/2010
833,Outer Met,6.4,10/01/2010
834,London,7.2,10/01/2010
835,S West,6.3,10/01/2010
836,Wales,4.9,10/01/2010
837,Scotland,4.6,10/01/2010
838,N Ireland,4.6,10/01/2010
839,UK,5.2,10/01/2010
840,North,4.1,01/01/2011
841,Yorks & H,4.8,01/01/2011
842,N West,4.8,01/01/2011
843,E Mids,4.8,01/01/2011
844,W Mids,5.1,01/01/2011
845,E Anglia,5.4,01/01/2011
846,Outer SE,5.9,01/01/2011
847,Outer Met,6.5,01/01/2011
848,London,7.2,01/01/2011
849,S West,6.2,01/01/2011
850,Wales,4.9,01/01/2011
851,Scotland,4.6,01/01/2011
852,N Ireland,4.4,01/01/2011
853,UK,5.2,01/01/2011
854,North,4.3,04/01/2011
855,Yorks & H,4.9,04/01/2011
856,N West,4.9,04/01/2011
857,E Mids,4.9,04/01/2011
858,W Mids,5.1,04/01/2011
859,E Anglia,5.4,04/01/2011
860,Outer SE,6.1,04/01/2011
861,Outer Met,6.6,04/01/2011
862,London,7.5,04/01/2011
863,S West,6.4,04/01/2011
864,Wales,5.1,04/01/2011
865,Scotland,4.7,04/01/2011
866,N Ireland,4.5,04/01/2011
867,UK,5.3,04/01/2011
868,North,4.2,07/01/2011
869,Yorks & H,4.9,07/01/2011
870,N West,4.8,07/01/2011
871,E Mids,4.9,07/01/2011
872,W Mids,5.2,07/01/2011
873,E Anglia,5.5,07/01/2011
874,Outer SE,6.1,07/01/2011
875,Outer Met,6.7,07/01/2011
876,London,7.5,07/01/2011
877,S West,6.4,07/01/2011
878,Wales,5.1,07/01/2011
879,Scotland,4.6,07/01/2011
880,N Ireland,4.3,07/01/2011
881,UK,5.3,07/01/2011
882,North,4.2,10/01/2011
883,Yorks & H,4.8,10/01/2011
884,N West,4.7,10/01/2011
885,E Mids,4.8,10/01/2011
886,W Mids,5.1,10/01/2011
887,E Anglia,5.5,10/01/2011
888,Outer SE,6,10/01/2011
889,Outer Met,6.6,10/01/2011
890,London,7.6,10/01/2011
891,S West,6.3,10/01/2011
892,Wales,4.9,10/01/2011
893,Scotland,4.5,10/01/2011
894,N Ireland,4.1,10/01/2011
895,UK,5.2,10/01/2011
896,North,4.1,01/01/2012
897,Yorks & H,4.7,01/01/2012
898,N West,4.7,01/01/2012
899,E Mids,4.8,01/01/2012
900,W Mids,5,01/01/2012
901,E Anglia,5.4,01/01/2012
902,Outer SE,6,01/01/2012
903,Outer Met,6.5,01/01/2012
904,London,7.5,01/01/2012
905,S West,6.2,01/01/2012
906,Wales,4.7,01/01/2012
907,Scotland,4.5,01/01/2012
908,N Ireland,3.9,01/01/2012
909,UK,5.2,01/01/2012
910,North,4.1,04/01/2012
911,Yorks & H,4.7,04/01/2012
912,N West,4.7,04/01/2012
913,E Mids,4.8,04/01/2012
914,W Mids,5.1,04/01/2012
915,E Anglia,5.4,04/01/2012
916,Outer SE,6,04/01/2012
917,Outer Met,6.6,04/01/2012
918,London,7.7,04/01/2012
919,S West,6.3,04/01/2012
920,Wales,4.8,04/01/2012
921,Scotland,4.5,04/01/2012
922,N Ireland,4,04/01/2012
923,UK,5.2,04/01/2012
924,North,4.1,07/01/2012
925,Yorks & H,4.7,07/01/2012
926,N West,4.6,07/01/2012
927,E Mids,4.7,07/01/2012
928,W Mids,5,07/01/2012
929,E Anglia,5.4,07/01/2012
930,Outer SE,6.1,07/01/2012
931,Outer Met,6.5,07/01/2012
932,London,7.7,07/01/2012
933,S West,6.3,07/01/2012
934,Wales,4.8,07/01/2012
935,Scotland,4.3,07/01/2012
936,N Ireland,3.9,07/01/2012
937,UK,5.2,07/01/2012
938,North,4,10/01/2012
939,Yorks & H,4.6,10/01/2012
940,N West,4.6,10/01/2012
941,E Mids,4.7,10/01/2012
942,W Mids,5,10/01/2012
943,E Anglia,5.4,10/01/2012
944,Outer SE,6,10/01/2012
945,Outer Met,6.5,10/01/2012
946,London,7.6,10/01/2012
947,S West,6.2,10/01/2012
948,Wales,4.7,10/01/2012
949,Scotland,4.3,10/01/2012
950,N Ireland,3.7,10/01/2012
951,UK,5.1,10/01/2012
952,North,3.9,01/01/2013
953,Yorks & H,4.6,01/01/2013
954,N West,4.5,01/01/2013
955,E Mids,4.7,01/01/2013
956,W Mids,4.9,01/01/2013
957,E Anglia,5.3,01/01/2013
958,Outer SE,6,01/01/2013
959,Outer Met,6.5,01/01/2013
960,London,7.8,01/01/2013
961,S West,6.2,01/01/2013
962,Wales,4.7,01/01/2013
963,Scotland,4.1,01/01/2013
964,N Ireland,3.9,01/01/2013
965,UK,5.1,01/01/2013
966,North,4,04/01/2013
967,Yorks & H,4.6,04/01/2013
968,N West,4.6,04/01/2013
969,E Mids,4.8,04/01/2013
970,W Mids,5,04/01/2013
971,E Anglia,5.6,04/01/2013
972,Outer SE,6.1,04/01/2013
973,Outer Met,6.6,04/01/2013
974,London,8.1,04/01/2013
975,S West,6.3,04/01/2013
976,Wales,4.7,04/01/2013
977,Scotland,4.3,04/01/2013
978,N Ireland,3.8,04/01/2013
979,UK,5.2,04/01/2013
980,North,4,07/01/2013
981,Yorks & H,4.8,07/01/2013
982,N West,4.7,07/01/2013
983,E Mids,4.9,07/01/2013
984,W Mids,5.1,07/01/2013
985,E Anglia,5.7,07/01/2013
986,Outer SE,6.2,07/01/2013
987,Outer Met,6.8,07/01/2013
988,London,8.4,07/01/2013
989,S West,6.3,07/01/2013
990,Wales,4.8,07/01/2013
991,Scotland,4.3,07/01/2013
992,N Ireland,3.9,07/01/2013
993,UK,5.3,07/01/2013
994,North,4,10/01/2013
995,Yorks & H,4.9,10/01/2013
996,N West,4.7,10/01/2013
997,E Mids,4.9,10/01/2013
998,W Mids,5.2,10/01/2013
999,E Anglia,5.7,10/01/2013
1000,Outer SE,6.4,10/01/2013
1001,Outer Met,7,10/01/2013
1002,London,8.7,10/01/2013
1003,S West,6.5,10/01/2013
1004,Wales,4.9,10/01/2013
1005,Scotland,4.4,10/01/2013
1006,N Ireland,4,10/01/2013
1007,UK,5.4,10/01/2013
1008,North,4.1,01/01/2014
1009,Yorks & H,4.8,01/01/2014
1010,N West,4.7,01/01/2014
1011,E Mids,5.1,01/01/2014
1012,W Mids,5.2,01/01/2014
1013,E Anglia,5.8,01/01/2014
1014,Outer SE,6.5,01/01/2014
1015,Outer Met,7.2,01/01/2014
1016,London,9.2,01/01/2014
1017,S West,6.5,01/01/2014
1018,Wales,4.9,01/01/2014
1019,Scotland,4.4,01/01/2014
1020,N Ireland,4.1,01/01/2014
1021,UK,5.5,01/01/2014
1022,North,4.3,04/01/2014
1023,Yorks & H,4.9,04/01/2014
1024,N West,4.8,04/01/2014
1025,E Mids,5.2,04/01/2014
1026,W Mids,5.4,04/01/2014
1027,E Anglia,6.1,04/01/2014
1028,Outer SE,6.9,04/01/2014
1029,Outer Met,7.8,04/01/2014
1030,London,10.1,04/01/2014
1031,S West,6.8,04/01/2014
1032,Wales,5.1,04/01/2014
1033,Scotland,4.6,04/01/2014
1034,N Ireland,4.2,04/01/2014
1035,UK,5.8,04/01/2014
1036,North,4.2,07/01/2014
1037,Yorks & H,5,07/01/2014
1038,N West,4.9,07/01/2014
1039,E Mids,5.3,07/01/2014
1040,W Mids,5.5,07/01/2014
1041,E Anglia,6.2,07/01/2014
1042,Outer SE,7,07/01/2014
1043,Outer Met,7.8,07/01/2014
1044,London,10.2,07/01/2014
1045,S West,6.9,07/01/2014
1046,Wales,5,07/01/2014
1047,Scotland,4.6,07/01/2014
1048,N Ireland,4.3,07/01/2014
1049,UK,5.8,07/01/2014
1050,North,4.1,10/01/2014
1051,Yorks & H,4.9,10/01/2014
1052,N West,4.8,10/01/2014
1053,E Mids,5.2,10/01/2014
1054,W Mids,5.5,10/01/2014
1055,E Anglia,6.2,10/01/2014
1056,Outer SE,7,10/01/2014
1057,Outer Met,7.9,10/01/2014
1058,London,10.3,10/01/2014
1059,S West,6.9,10/01/2014
1060,Wales,4.9,10/01/2014
1061,Scotland,4.5,10/01/2014
1062,N Ireland,4.2,10/01/2014
1063,UK,5.8,10/01/2014
1064,North,4.3,01/01/2015
1065,Yorks & H,4.8,01/01/2015
1066,N West,4.8,01/01/2015
1067,E Mids,5.3,01/01/2015
1068,W Mids,5.4,01/01/2015
1069,E Anglia,6.1,01/01/2015
1070,Outer SE,7,01/01/2015
1071,Outer Met,8,01/01/2015
1072,London,10.4,01/01/2015
1073,S West,6.8,01/01/2015
1074,Wales,4.8,01/01/2015
1075,Scotland,4.5,01/01/2015
1076,N Ireland,4.2,01/01/2015
1077,UK,5.8,01/01/2015
1078,North,4.2,04/01/2015
1079,Yorks & H,5,04/01/2015
1080,N West,4.9,04/01/2015
1081,E Mids,5.3,04/01/2015
1082,W Mids,5.5,04/01/2015
1083,E Anglia,6.3,04/01/2015
1084,Outer SE,7.2,04/01/2015
1085,Outer Met,8.3,04/01/2015
1086,London,10.9,04/01/2015
1087,S West,7,04/01/2015
1088,Wales,5,04/01/2015
1089,Scotland,4.4,04/01/2015
1090,N Ireland,4.4,04/01/2015
1091,UK,6,04/01/2015
1092,North,4.2,07/01/2015
1093,Yorks & H,4.9,07/01/2015
1094,N West,4.8,07/01/2015
1095,E Mids,5.2,07/01/2015
1096,W Mids,5.5,07/01/2015
1097,E Anglia,6.2,07/01/2015
1098,Outer SE,7.3,07/01/2015
1099,Outer Met,8.5,07/01/2015
1100,London,11.2,07/01/2015
1101,S West,7.1,07/01/2015
1102,Wales,5,07/01/2015
1103,Scotland,4.4,07/01/2015
1104,N Ireland,4.4,07/01/2015
1105,UK,6,07/01/2015
1106,North,4.2,10/01/2015
1107,Yorks & H,4.8,10/01/2015
1108,N West,4.8,10/01/2015
1109,E Mids,5.2,10/01/2015
1110,W Mids,5.5,10/01/2015
1111,E Anglia,6.2,10/01/2015
1112,Outer SE,7.3,10/01/2015
1113,Outer Met,8.7,10/01/2015
1114,London,11.5,10/01/2015
1115,S West,7,10/01/2015
1116,Wales,4.8,10/01/2015
1117,Scotland,4.4,10/01/2015
1118,N Ireland,4.4,10/01/2015
1119,UK,6,10/01/2015
1120,North,4.2,01/01/2016
1121,Yorks & H,4.8,01/01/2016
1122,N West,4.7,01/01/2016
1123,E Mids,5.2,01/01/2016
1124,W Mids,5.5,01/01/2016
1125,E Anglia,6.3,01/01/2016
1126,Outer SE,7.4,01/01/2016
1127,Outer Met,8.9,01/01/2016
1128,London,11.4,01/01/2016
1129,S West,7.1,01/01/2016
1130,Wales,4.8,01/01/2016
1131,Scotland,4.3,01/01/2016
1132,N Ireland,4.1,01/01/2016
1133,UK,6,01/01/2016
1134,North,4.1,04/01/2016
1135,Yorks & H,5,04/01/2016
1136,N West,4.9,04/01/2016
1137,E Mids,5.3,04/01/2016
1138,W Mids,5.6,04/01/2016
1139,E Anglia,6.5,04/01/2016
1140,Outer SE,7.6,04/01/2016
1141,Outer Met,9.1,04/01/2016
1142,London,11.7,04/01/2016
1143,S West,7.2,04/01/2016
1144,Wales,4.9,04/01/2016
1145,Scotland,4.3,04/01/2016
1146,N Ireland,4.3,04/01/2016
1147,UK,6.1,04/01/2016
1148,North,4.1,07/01/2016
1149,Yorks & H,5,07/01/2016
1150,N West,4.9,07/01/2016
1151,E Mids,5.4,07/01/2016
1152,W Mids,5.6,07/01/2016
1153,E Anglia,6.5,07/01/2016
1154,Outer SE,7.7,07/01/2016
1155,Outer Met,9.2,07/01/2016
1156,London,11.6,07/01/2016
1157,S West,7.3,07/01/2016
1158,Wales,4.9,07/01/2016
1159,Scotland,4.4,07/01/2016
1160,N Ireland,4.3,07/01/2016
1161,UK,6.1,07/01/2016
1162,North,4.1,10/01/2016
1163,Yorks & H,4.9,10/01/2016
1164,N West,4.9,10/01/2016
1165,E Mids,5.4,10/01/2016
1166,W Mids,5.5,10/01/2016
1167,E Anglia,6.6,10/01/2016
1168,Outer SE,7.7,10/01/2016
1169,Outer Met,9.1,10/01/2016
1170,London,11.4,10/01/2016
1171,S West,7.2,10/01/2016
1172,Wales,4.8,10/01/2016
1173,Scotland,4.4,10/01/2016
1174,N Ireland,4.3,10/01/2016
1175,UK,6.1,10/01/2016
1176,North,4,01/01/2017
1177,Yorks & H,4.9,01/01/2017
1178,N West,4.9,01/01/2017
1179,E Mids,5.4,01/01/2017
1180,W Mids,5.6,01/01/2017
1181,E Anglia,6.6,01/01/2017
1182,Outer SE,7.7,01/01/2017
1183,Outer Met,9,01/01/2017
1184,London,11.4,01/01/2017
1185,S West,7.3,01/01/2017
1186,Wales,4.7,01/01/2017
1187,Scotland,4.4,01/01/2017
1188,N Ireland,4.2,01/01/2017
1189,UK,6.1,01/01/2017
1190,North,4.1,04/01/2017
1191,Yorks & H,5,04/01/2017
1192,N West,5,04/01/2017
1193,E Mids,5.4,04/01/2017
1194,W Mids,5.7,04/01/2017
1195,E Anglia,6.6,04/01/2017
1196,Outer SE,7.8,04/01/2017
1197,Outer Met,9.1,04/01/2017
1198,London,11.3,04/01/2017
1199,S West,7.4,04/01/2017
1200,Wales,4.9,04/01/2017
1201,Scotland,4.3,04/01/2017
1202,N Ireland,4.4,04/01/2017
1203,UK,6.1,04/01/2017
1204,North,4.1,07/01/2017
1205,Yorks & H,4.9,07/01/2017
1206,N West,4.9,07/01/2017
1207,E Mids,5.5,07/01/2017
1208,W Mids,5.7,07/01/2017
1209,E Anglia,6.6,07/01/2017
1210,Outer SE,7.8,07/01/2017
1211,Outer Met,9.1,07/01/2017
1212,London,11,07/01/2017
1213,S West,7.4,07/01/2017
1214,Wales,4.9,07/01/2017
1215,Scotland,4.4,07/01/2017
1216,N Ireland,4.4,07/01/2017
1217,UK,6.1,07/01/2017
1218,North,4,10/01/2017
1219,Yorks & H,4.8,10/01/2017
1220,N West,4.9,10/01/2017
1221,E Mids,5.5,10/01/2017
1222,W Mids,5.6,10/01/2017
1223,E Anglia,6.6,10/01/2017
1224,Outer SE,7.7,10/01/2017
1225,Outer Met,8.9,10/01/2017
1226,London,10.9,10/01/2017
1227,S West,7.3,10/01/2017
1228,Wales,4.9,10/01/2017
1229,Scotland,4.4,10/01/2017
1230,N Ireland,4.3,10/01/2017
1231,UK,6,10/01/2017
1232,North,4.1,01/01/2018
1233,Yorks & H,4.9,01/01/2018
1234,N West,4.9,01/01/2018
1235,E Mids,5.4,01/01/2018
1236,W Mids,5.6,01/01/2018
1237,E Anglia,6.5,01/01/2018
1238,Outer SE,7.6,01/01/2018
1239,Outer Met,8.9,01/01/2018
1240,London,10.9,01/01/2018
1241,S West,7.3,01/01/2018
1242,Wales,4.9,01/01/2018
1243,Scotland,4.2,01/01/2018
1244,N Ireland,4.5,01/01/2018
1245,UK,6,01/01/2018
1246,North,4,04/01/2018
1247,Yorks & H,4.8,04/01/2018
1248,N West,4.9,04/01/2018
1249,E Mids,5.5,04/01/2018
1250,W Mids,5.6,04/01/2018
1251,E Anglia,6.6,04/01/2018
1252,Outer SE,7.7,04/01/2018
1253,Outer Met,8.8,04/01/2018
1254,London,10.7,04/01/2018
1255,S West,7.3,04/01/2018
1256,Wales,5,04/01/2018
1257,Scotland,4.3,04/01/2018
1258,N Ireland,4.4,04/01/2018
1259,UK,6,04/01/2018
1260,North,3.9,07/01/2018
1261,Yorks & H,5,07/01/2018
1262,N West,5,07/01/2018
1263,E Mids,5.6,07/01/2018
1264,W Mids,5.7,07/01/2018
1265,E Anglia,6.6,07/01/2018
1266,Outer SE,7.6,07/01/2018
1267,Outer Met,8.8,07/01/2018
1268,London,10.6,07/01/2018
1269,S West,7.3,07/01/2018
1270,Wales,4.9,07/01/2018
1271,Scotland,4.3,07/01/2018
1272,N Ireland,4.4,07/01/2018
1273,UK,6,07/01/2018
1274,North,3.9,10/01/2018
1275,Yorks & H,4.8,10/01/2018
1276,N West,4.9,10/01/2018
1277,E Mids,5.5,10/01/2018
1278,W Mids,5.6,10/01/2018
1279,E Anglia,6.6,10/01/2018
1280,Outer SE,7.4,10/01/2018
1281,Outer Met,8.5,10/01/2018
1282,London,10.5,10/01/2018
1283,S West,7.3,10/01/2018
1284,Wales,4.9,10/01/2018
1285,Scotland,4.3,10/01/2018
1286,N Ireland,4.4,10/01/2018
1287,UK,5.9,10/01/2018
1288,North,4,01/01/2019
1289,Yorks & H,4.8,01/01/2019
1290,N West,4.8,01/01/2019
1291,E Mids,5.4,01/01/2019
1292,W Mids,5.6,01/01/2019
1293,E Anglia,6.5,01/01/2019
1294,Outer SE,7.3,01/01/2019
1295,Outer Met,8.5,01/01/2019
1296,London,10.2,01/01/2019
1297,S West,7.1,01/01/2019
1298,Wales,4.8,01/01/2019
1299,Scotland,4.2,01/01/2019
1300,N Ireland,4.5,01/01/2019
1301,UK,5.9,01/01/2019
1302,North,4,04/01/2019
1303,Yorks & H,4.8,04/01/2019
1304,N West,4.8,04/01/2019
1305,E Mids,5.5,04/01/2019
1306,W Mids,5.7,04/01/2019
1307,E Anglia,6.5,04/01/2019
1308,Outer SE,7.3,04/01/2019
1309,Outer Met,8.5,04/01/2019
1310,London,10.3,04/01/2019
1311,S West,7.2,04/01/2019
1312,Wales,4.9,04/01/2019
1313,Scotland,4.2,04/01/2019
1314,N Ireland,4.5,04/01/2019
1315,UK,5.9,04/01/2019
1316,North,3.9,07/01/2019
1317,Yorks & H,4.9,07/01/2019
1318,N West,4.9,07/01/2019
1319,E Mids,5.5,07/01/2019
1320,W Mids,5.8,07/01/2019
1321,E Anglia,6.6,07/01/2019
1322,Outer SE,7.4,07/01/2019
1323,Outer Met,8.5,07/01/2019
1324,London,10.1,07/01/2019
1325,S West,7.2,07/01/2019
1326,Wales,4.9,07/01/2019
1327,Scotland,4.3,07/01/2019
1328,N Ireland,4.5,07/01/2019
1329,UK,5.9,07/01/2019
1330,North,4,10/01/2019
1331,Yorks & H,4.8,10/01/2019
1332,N West,4.9,10/01/2019
1333,E Mids,5.5,10/01/2019
1334,W Mids,5.7,10/01/2019
1335,E Anglia,6.5,10/01/2019
1336,Outer SE,7.3,10/01/2019
1337,Outer Met,8.5,10/01/2019
1338,London,10,10/01/2019
1339,S West,7.2,10/01/2019
1340,Wales,4.9,10/01/2019
1341,Scotland,4.3,10/01/2019
1342,N Ireland,4.4,10/01/2019
1343,UK,5.9,10/01/2019
1344,North,4,01/01/2020
1345,Yorks & H,5,01/01/2020
1346,N West,5,01/01/2020
1347,E Mids,5.5,01/01/2020
1348,W Mids,5.7,01/01/2020
1349,E Anglia,6.5,01/01/2020
1350,Outer SE,7.5,01/01/2020
1351,Outer Met,8.5,01/01/2020
1352,London,10,01/01/2020
1353,S West,7.1,01/01/2020
1354,Wales,5.1,01/01/2020
1355,Scotland,4.2,01/01/2020
1356,N Ireland,4.5,01/01/2020
1357,UK,5.9,01/01/2020
1358,North,4,04/01/2020
1359,Yorks & H,4.9,04/01/2020
1360,N West,5,04/01/2020
1361,E Mids,5.5,04/01/2020
1362,W Mids,5.7,04/01/2020
1363,E Anglia,6.5,04/01/2020
1364,Outer SE,7.6,04/01/2020
1365,Outer Met,8.6,04/01/2020
1366,London,10.3,04/01/2020
1367,S West,7.2,04/01/2020
1368,Wales,5.1,04/01/2020
1369,Scotland,4.3,04/01/2020
1370,N Ireland,4.5,04/01/2020
1371,UK,6,04/01/2020
1372,North,4,07/01/2020
1373,Yorks & H,5,07/01/2020
1374,N West,5,07/01/2020
1375,E Mids,5.7,07/01/2020
1376,W Mids,5.8,07/01/2020
1377,E Anglia,6.7,07/01/2020
1378,Outer SE,7.8,07/01/2020
1379,Outer Met,8.8,07/01/2020
1380,London,10.3,07/01/2020
1381,S West,7.4,07/01/2020
1382,Wales,5.1,07/01/2020
1383,Scotland,4.3,07/01/2020
1384,N Ireland,4.5,07/01/2020
1385,UK,6.1,07/01/2020
1386,North,4.2,10/01/2020
1387,Yorks & H,5.1,10/01/2020
1388,N West,5.1,10/01/2020
1389,E Mids,5.8,10/01/2020
1390,W Mids,5.9,10/01/2020
1391,E Anglia,6.8,10/01/2020
1392,Outer SE,7.8,10/01/2020
1393,Outer Met,8.8,10/01/2020
1394,London,10.4,10/01/2020
1395,S West,7.6,10/01/2020
1396,Wales,5.2,10/01/2020
1397,Scotland,4.3,10/01/2020
1398,N Ireland,4.6,10/01/2020
1399,UK,6.2,10/01/2020
1400,North,4.1,01/01/2021
1401,Yorks & H,5.2,01/01/2021
1402,N West,5.3,01/01/2021
1403,E Mids,5.8,01/01/2021
1404,W Mids,5.9,01/01/2021
1405,E Anglia,6.8,01/01/2021
1406,Outer SE,7.8,01/01/2021
1407,Outer Met,8.8,01/01/2021
1408,London,10.3,01/01/2021
1409,S West,7.5,01/01/2021
1410,Wales,5.3,01/01/2021
1411,Scotland,4.4,01/01/2021
1412,N Ireland,4.6,01/01/2021
1413,UK,6.2,01/01/2021
1414,North,4.3,04/01/2021
1415,Yorks & H,5.4,04/01/2021
1416,N West,5.4,04/01/2021
1417,E Mids,6.1,04/01/2021
1418,W Mids,6,04/01/2021
1419,E Anglia,7,04/01/2021
1420,Outer SE,8.2,04/01/2021
1421,Outer Met,9.1,04/01/2021
1422,London,10.8,04/01/2021
1423,S West,7.9,04/01/2021
1424,Wales,5.5,04/01/2021
1425,Scotland,4.5,04/01/2021
1426,N Ireland,4.8,04/01/2021
1427,UK,6.4,04/01/2021
1428,North,4.3,07/01/2021
1429,Yorks & H,5.4,07/01/2021
1430,N West,5.4,07/01/2021
1431,E Mids,6.1,07/01/2021
1432,W Mids,6.1,07/01/2021
1433,E Anglia,7.1,07/01/2021
1434,Outer SE,8.2,07/01/2021
1435,Outer Met,9.2,07/01/2021
1436,London,10.5,07/01/2021
1437,S West,8.1,07/01/2021
1438,Wales,5.7,07/01/2021
1439,Scotland,4.6,07/01/2021
1440,N Ireland,4.9,07/01/2021
1441,UK,6.5,07/01/2021
1442,North,4.3,10/01/2021
1443,Yorks & H,5.4,10/01/2021
1444,N West,5.5,10/01/2021
1445,E Mids,6.2,10/01/2021
1446,W Mids,6.2,10/01/2021
1447,E Anglia,7.2,10/01/2021
1448,Outer SE,8.4,10/01/2021
1449,Outer Met,9.4,10/01/2021
1450,London,10.6,10/01/2021
1451,S West,8.2,10/01/2021
1452,Wales,5.8,10/01/2021
1453,Scotland,4.6,10/01/2021
1454,N Ireland,4.8,10/01/2021
1455,UK,6.6,10/01/2021
1456,North,4.4,01/01/2022
1457,Yorks & H,5.6,01/01/2022
1458,N West,5.7,01/01/2022
1459,E Mids,6.3,01/01/2022
1460,W Mids,6.4,01/01/2022
1461,E Anglia,7.4,01/01/2022
1462,Outer SE,8.5,01/01/2022
1463,Outer Met,9.5,01/01/2022
1464,London,10.7,01/01/2022
1465,S West,8.2,01/01/2022
1466,Wales,5.8,01/01/2022
1467,Scotland,4.7,01/01/2022
1468,N Ireland,4.8,01/01/2022
1469,UK,6.7,01/01/2022
1470,North,4.5,04/01/2022
1471,Yorks & H,5.7,04/01/2022
1472,N West,5.9,04/01/2022
1473,E Mids,6.5,04/01/2022
1474,W Mids,6.6,04/01/2022
1475,E Anglia,7.6,04/01/2022
1476,Outer SE,8.7,04/01/2022
1477,Outer Met,9.7,04/01/2022
1478,London,11.1,04/01/2022
1479,S West,8.5,04/01/2022
1480,Wales,5.9,04/01/2022
1481,Scotland,4.8,04/01/2022
1482,N Ireland,5.1,04/01/2022
1483,UK,6.9,04/01/2022
1484,North,4.5,07/01/2022
1485,Yorks & H,5.8,07/01/2022
1486,N West,5.8,07/01/2022
1487,E Mids,6.7,07/01/2022
1488,W Mids,6.6,07/01/2022
1489,E Anglia,7.6,07/01/2022
1490,Outer SE,8.8,07/01/2022
1491,Outer Met,9.7,07/01/2022
1492,London,10.8,07/01/2022
1493,S West,8.8,07/01/2022
1494,Wales,6.1,07/01/2022
1495,Scotland,4.8,07/01/2022
1496,N Ireland,5.2,07/01/2022
1497,UK,6.9,07/01/2022
1498,North,4.4,10/01/2022
1499,Yorks & H,5.5,10/01/2022
1500,N West,5.7,10/01/2022
1501,E Mids,6.3,10/01/2022
1502,W Mids,6.4,10/01/2022
1503,E Anglia,7.5,10/01/2022
1504,Outer SE,8.5,10/01/2022
1505,Outer Met,9.4,10/01/2022
1506,London,10.6,10/01/2022
1507,S West,8.2,10/01/2022
1508,Wales,5.8,10/01/2022
1509,Scotland,4.6,10/01/2022
1510,N Ireland,4.9,10/01/2022
1511,UK,6.6,10/01/2022
